en,fr,predicted
infertility and kidney transplantation,infertilité et greffe rénale,inférilité et transplantation rénale
great moments in renal transplantation,grands moments de la transplantation rénale,Les grands moments de la transplantation rénale
in process citation,"&quot;somaticien&quot;, un terme inadéquat",dans la citation de procédure
advocacy,advocacy,défense des droits
"arson and pyromania, update 2015",incendiaires et pyromanes,"incendie et pyromanie, mise à jour 2015"
bipolar disorders and self-stigma,troubles bipolaires et autostigmatisation,troubles bipolaires et autostigme
what trends in psychiatry?,où va la psychiatrie?,Quelles tendances dans la psychiatrie ?
interim prosthesis complication,complication de prothèse intermédiaire,complication de la prothèse provisoire
neonatal unilateral paralysis of the radial nerve,paralysie néonatal unilatérale du nerf radial,paralysie unilatérale du nerf radial néonatale
pancreatic hydatid cyst: a case about,kyste hydatique pancréatique: à propos d'un cas,cyst hydatide pancréatique: un cas sur
hydatid cyst of the adrenal: about a case,kyste hydatique de la surrénale: à propos d'un cas,cyst hydatide surrénale: environ un cas
glanzmann thrombasthenia: about 11 cases,thrombasthénie de glanzmann: à propos de 11 cas,thrombasthénie de glanzmann: environ 11 cas
a colonic mucosae with brushing border,la bordure en brosse d'une muqueuse colique,une muqueuse du côlon avec bord de brossage
a rare tumor of the ampulla of vater,une tumeur rare de l'ampoule de vater,une tumeur rare de l'ampoule de vater
a testis with a misleading clinical aspect,un testicule à la clinique trompeuse,un testicule ayant un aspect clinique trompeur
sciatic nerve intraneural perineurioma,périneuriome intraneural du nerf sciatique,périnéuroma intraneural du nerf sciatique
comorbidities of copd,les comorbidités dans la bpco,comorbidités de la polio
giant cell arteritis and unexplained hypoxemia,artérite à cellules géantes et hypoxie inexpliquée,artériite à cellules géantes et hypoxémie inexpliquée
congenital radio-ulnar synostosis,synostose radio-ulnaire,synostose radioulnarisée congénitale
cluster headache and brain imagery,algie vasculaire de la face : place de l'imagerie,Maux de tête de cluster et images cérébrales
ageing: a matter of heart?,vieillissement - une question de cœur ?,Le vieillissement: une question de cœur?
neuroinflammation: dr jekyll or mr hyde?,la neuro-inflammation - dr jekyll ou mr hyde ?,Le Dr Jekyll ou M. Hyde ?
lung resistome,le résistome pulmonaire,résistance pulmonaire
the emerging concept of lung mycobiome,un nouveau concept - le mycobiome pulmonaire,le concept émergent de mycobiome pulmonaire
the disease and the humanities,la maladie et les humanités,la maladie et les sciences humaines
autoimmune hemolytic anemia in children,anémie hémolytique auto-immune de l'enfant,hémolytique auto-immune chez les enfants
in process citation,8/20 les désordres hydro-électrolytiques,dans la citation de procédure
the locations of mobile geriatric teams in france,les équipes mobiles de gériatrie en france,les emplacements des équipes gériatriques mobiles en France
in process citation,une riche expérience,dans la citation de procédure
singing as an aid in neonatology,"le chant, un support de soins en néonatologie",Le chant comme aide en néonatologie
&quot;i became a mother in prison.&quot;,« je suis devenue mère en prison »,Je suis devenue mère en prison.
motherhood behind bars,la maternité détenue,La maternité derrière les barreaux
the right to be a mother in prison,le droit d'être mère en prison,Le droit d'être mère en prison
"woman and mother in prison, a difficult reality","femme et mère en prison, une réalité difficile","femme et mère en prison, une réalité difficile"
in process citation,naître et grandir dans l'univers carcéral,dans la citation de procédure
in process citation,"nutrition, communiquons autrement !",dans la citation de procédure
"ingenol mebutate (picato), dermal administration","mêbutate d'ingênol (picato), voie dermique","ingénol mébutate (picato), administration cutanée"
"sofosbuvir (sovaldi), oral administration","sofosbuvir (sovaldi), voie orale","sofosbuvir (sovaldi), administration orale"
"simeprevir (olysio), oral administration","simêprêvir (olysio), administration orale","simeprevir (olysio), administration orale"
concept analysis,l'analyse de concept,analyse des concepts
in process citation,pour la diffusion des soins palliatifs à domicile,dans la citation de procédure
"end of life, promoting the collegial procedure","fin de vie, promouvoir la procédure collégiale","fin de vie, en favorisant la procédure collégiale"
in process citation,un accompagnement pluriprofessionnel,dans la citation de procédure
in process citation,pour une véritable attention à la douleur,dans la citation de procédure
"the relationship, a key ingredient of care","la relation, un ingrédient incontournable du soin","la relation, un ingrédient clé des soins"
"the other, the object and the social connection","l'autre, l'objet et le lien social","l'autre, l'objet et le lien social"
"jean oury, &quot;i am a poumista&quot;","jean oury, « je suis poumiste »","Jean Oury, ""je suis un poumiste"""
an insane dialogue,un dialogue de fous,Un dialogue fou
work in psychiatry: a political question,du travail en psychiatrie : une question politique,Le travail en psychiatrie: une question politique
"(community) psychiatry, a parenthesis?","la psychiatrie (de secteur), une parenthèse ?","(communauté) psychiatrie, une parenthèsie ?"
in process citation,"la démocratie sanitaire, une utopie ?",dans la citation de procédure
in process citation,la clinique au cœur de la violence hospitalière,dans la citation de procédure
nothing to disclose?,rien à déclarer ?,- Vous n'avez rien à révéler ?
choroidal osteoma,ostéome choroïdien,ostéome choroïdal
post-traumatic endophthalmitis,les endophtalmies post-traumatiques,endophthalmitis post-traumatique
vaccine news,info-vaccins,nouvelles de vaccins
&quot;les impatients&quot;: expression through art,les impatients : un parfum de santé,Les impatients: expression par l' art
sleep medicine: 1965 to 2015,la médecine du sommeil : 1965-2015,médicament du sommeil: 1965 à 2015
psychiatry in quebec. then and now,la psychiatrie au québec : autrefois/maintenant,psychiatrie au Québec.
editorial,éditorial,rédaction
atypical onset corticobasal degeneration,dégénérescence corticobasale à début atypique,détérioration atypique du corticobasal
neonatal mucolipidosis type ii,révélation néonatale d'une mucolipidose de type ii,mucolipidose néonatale de type ii
"malaria situation, 2015","commentaire du travail de min bh et al., pp. 784","situation du paludisme, 2015"
cluster headache differential diagnosis,diagnostic différentiel de l'avf,diagnostic différentiel de maux de tête de groupe
recurrent fevers in childhood,les fièvres récurrentes de l'enfant,fièvre récurrente dans l'enfance
subcutaneous nodules involving the forearms,des nodules sous-cutanés des avant-bras,les nodules sous-cutanés impliquant les avant-bras
male median raphe,le raphé médian chez l'homme,Raphe médiane mâle
lentigo maligna,mélanome lentigineux,Lentigo maligne
in process citation,l'infirmière et la gestion d'une plaie,dans la citation de procédure
"my hospi friends, a social network for patients","my hospi friends, le réseau social des patients","Mes amis hospitaliers, un réseau social pour les patients"
depression and its non-drug treatments,la dépression et ses traitements non médicamenteux,dépression et ses traitements non médicamenteux
cluster headache treatment,traitements de l'algie vasculaire de la face,traitement des maux de tête en groupe
air pollution,cœur et pollution particulaire,pollution atmosphérique
in process citation,clinique,dans la citation de procédure
in process citation,préclinique,dans la citation de procédure
in process citation,génétique,dans la citation de procédure
gne myopathy,myopathie gne,une myopathie génétique
exceptional view of a new website…,vue exceptionnelle d'un nouveau site…,Une vue exceptionnelle d'un nouveau site...
persistent tunica vasculosa lentis,persistance de la tunica vasculosa lentis,Tunica vasculosa lentis persistante
in process citation,resection de prostate monopolaire en ambulatoire,dans la citation de procédure
in process citation,sexualité de l'homme âgé en milieu africain,dans la citation de procédure
in process citation,contusion sur rein pathologique,dans la citation de procédure
in process citation,longueurs d'uretères : sommes-nous tous égaux ?,dans la citation de procédure
medications and esophageal injuries,medicaments et lésions à l'oesophage,médicaments et blessures de l'œsophage
pregnancies in quebec,les grossesses au québec,grossesses au Québec
frontotemporal dementia,démence frontotemporale,démence frontotemporale
acute myocardial infarction? a one hour test,infarctus aigu du myocarde? un test d'une heure,infarctus du myocarde aiguë ? un test d'une heure
yoga: the heart's friend,le yoga: l'ami du coeur,Le yoga: l'ami du cœur
environmental health: a response,la santé environnementale: une réponse,Santé environnementale: une réponse
weobservatory: in the service of women's health,weobservatory: au service de la santé des femmes,Nous observons: au service de la santé des femmes
laurentides/lanaudière: the blue bracelet,laurentides/lanaudière: le bracelet bleu,laurentides/lanaudière: le bracelet bleu
campaign to act: &quot;avc vite&quot;,campagne pour agir: &quot;avc vite&quot;,campagne pour agir: &quot; avc vite&quot;
joint statement: working together,déclaration conjointe: travailler ensemble,Déclaration commune: travail en commun
the place of pediatricians in newborn screening,place du pédiatre dans le dépistage néonatal,la place des pédiatres dans le dépistage du nouveau-né
breast pain: recommendations,syndrome douloureux mammaire : recommandations,douleur mammaire: recommandations
the promovac study,l'etude promovac,l'étude de promotion
forum on the emergence of tomorrow's leaders,forum relève: les leaders de demain,Forum sur l'émergence des leaders de demain
africa: security after ebola,afrique : sécurité après ebola,Afrique: sécurité après Ebola
belgium: patient empowerment,belgique: empowerment des patients,Belgique: autonomisation des patients
prevention: the nursing role,prévention: le rôle infirmier,prévention: le rôle des infirmières
alcohol abuse by seniors,consommation excessive d'alcool par les aînés,abus d'alcool par les personnes âgées
montérégie: assessing the risk of suicide,montérégie: évaluer le risque de suicide,Montérégie: évaluation du risque de suicide
a network under the sign of change,un réseau sous le signe du changement,un réseau sous le signe du changement
lyne cloutier,lyne cloutier,Line Cloutier
sleep . . . that stranger,"le sommeil, cet inconnu",Dormir . . . cet étranger
the patient of bed no. 3,la patiente du box 3,le patient du lit n° 3
no reflow: what are the predictors?,no reflow : quels facteurs prédictifs ?,Aucun reflux: quels sont les prédicteurs ?
management of shoulder dystocia,conduite à tenir en cas de dystocie des épaules,traitement de la dystose de l'épaule
pharmaceutical heritage,le patrimoine pharmaceutique,héritage pharmaceutique
rise and fall of lactarium linas,grandeur et décadence du lactarium linas,augmentation et diminution des lignes lactariennes
contraception and obesity,contraception et obésité,contraception et l'obésité
epidemiology of shoulder dystocia,épidémiologie de la dystocie des épaules,épidémiologie de la dystose de l'épaule
statins use in elderly patients,place des statines chez le sujet âgé,l' utilisation de statines chez les patients âgés
west syndrome: about an observation,syndrome de west: à propos d'une observation,syndrome de l'ouest: sur une observation
fournier gangrene complicating impalement,la gangrène de fournier compliquant un empalement,accrochage compliqué par gangrène
"abdominal textiloma, about a case","textilome abdominal, à propos d'un cas","textilome abdominal, à peu près un cas"
angiobehçet: between the hammer and the anvil!,un angiobehçet: entre le marteau et l'enclume!,Angiobehçet: entre le marteau et l'emboîture !
conclusion and perspectives,conclusion et perspectives,Conclusion et perspectives
the issue of prostate cancer surgery,l'enjeu de la chirurgie du cancer de la prostate,la question de la chirurgie du cancer de la prostate
atypical form of lyme disease,forme atypique d'une maladie de lyme,forme atypique de la maladie de Lyme
malignant historical schwannoma of the forearm,schwannome malin historique de l'avant bras,schannome historique maligne de l'avant-bras
fibromyxoid sarcoma of unusual location,sarcome fibromyxoïde de localisation inhabituelle,sarcome fibromyxoïde à un emplacement inhabituel
foreign bodies in ent: ten-year experience,les corps étrangers en orl: expérience de dix ans,organismes étrangers dans le secteur: dix ans d'expérience
cryptococcosis during hiv infection,la cryptococcose au cours de l'infection à vih,cryptococose lors de l'infection par le VIH
abnormal kidneys,des reins anormaux,des reins anormaux
ovocyte vitrification: a tool for the future,la vitrification ovocytaire : un outil d'avenir,Vitrification des ovocytes: un outil pour l'avenir
pathophysiology of human mitochondrial diseases,physiopathologie des maladies mitochondriales,pathophysiologie des maladies mitochondriales humaines
"teriflunomide (aubagio), oral administration","tériflunomide (aubagio), administration orale","Tériflunomide (aubagio), administration orale"
dolutegravir (tivicay) orally,"dolutégravir (tivicay), voie orale",dolutegravir (tivicay) par voie orale
understanding nursing care in hospitals,comprendre le travail de soins à l'hôpital,comprendre les soins infirmiers dans les hôpitaux
"innovate, invent, discover ... research","innover, inventer, découvrir ... chercher","innovent, inventent, découvrent... la recherche"
coordination of hospital surveillance,la coordination des vigilances à l'hôpital,coordination de la surveillance hospitalière
the usefulness of the useless,l'utilité de l'inutile,l'utilité de l'inutile
tarmed: an increasingly confrontational reform,tarmed: une réforme toujours plus conflictuelle,Les réformes de plus en plus confrontatives
noninvasive screening for trisomy 21,le dépistage non invasif de la trisomie 21,dépistage non invasif de la trisomie 21
"disease management, an old fashion idea?","disease management, idée d'autrefois?","La gestion des maladies, une idée à l'ancienne?"
achalasia: which treatment to choose in 2015?,achalasie: queulle thérapie choisir en 2015 ?,achalasie: quel traitement choisir en 2015 ?
"whipple's disease, when to think about it?",maladie de whipple: quand y penser?,"La maladie de Whipple, quand y penser ?"
mus musculus sapiens,mus musculus sapiens,musculus sapiens
in process citation,conclusion,dans la citation de procédure
aggressive fibromatosis of the neck,fibromatose agressive du cou,fibromatose du cou
high pressure trap,piège à haute tension,piège à haute pression
"raspail, don quixote of camphor!","raspail, don quichotte du camphre!","- Je vous en prie, donnez-moi le champhore !"
pseudotumoral malakoplakia of the breast,malakoplakie pseudotumorale du sein,Malakoplakie pseudotumorale du sein
osteogenesis imperfecta: report of a case,l'ostéogenèse imparfaite: à propos d'un cas,Osteogénèse imperfecte: rapport d'un cas
eye redness: think of rosacea,rougeur oculaire: penser à la rosacée,rougeur des yeux: pensez à la rosacée
a small induced vascular malformation,une petite malformation vasculaire provoquée,une petite malformation vasculaire induite
what if all causes were not investigated?,et si toutes les causes n'étaient pas explorées?,Et si toutes les causes n'étaient pas étudiées ?
"involvement of collaborators, key to success","l'implication des collaborateurs, clef du succàs","La participation des collaborateurs, clé du succès"
george's clock,l'horloge de georges,l'horloge de George
an engagement at the teddy bear hospital,un engagement à l'hôpital des nounours,Un engagement à l'hôpital Teddy Bear
insidious epidemic,sournoise épidémie,épidémie insidieuse
with perseverance and passion,mit ausdauer und leidenschaft,avec persévérance et passion
in the end in service of humanity,am ende im dienst des menschen,au final au service de l'humanité
in process citation,living lab macvia handicap,dans la citation de procédure
epilepsy and driving,épilepsie et conduite automobile,épilepsie et conduite
in process citation,living lab macvia maladies infectieuses chroniques,dans la citation de procédure
encouraging comments and controversies,tribunes libres et débats transversaux,encourager les commentaires et les controverses
sequencing babies?,séquencer les bébés ? - chroniques génomiques,- Vous séquencerez les bébés ?
randomness and cell fate,hasard et destinée cellulaire,Le hasard et le destin de la cellule
complete hydatidiform mole,la môle hydatiforme complète,une taupe hydatidiforme complète
prader-willi syndrome in 2015,le syndrome de prader-willi en 2015,Le syndrome de Prader-Willi en 2015
investing in knowledge,investir dans la connaissance,investir dans la connaissance
blind,aveugle,aveugle
the actions of the editorial committee,les actions du comité éditorial,les actions du comité éditorial
in process citation,living lab macvia-lr fragilité,dans la citation de procédure
in process citation,living lab macvia maladies chroniques,dans la citation de procédure
in process citation,introduction,dans la citation de procédure
tuberculous ulceration of the penis,ulcération pénienne tuberculeuse,ulcération tuberculeuse du pénis
secondary syphilis,syphilis secondaire,syphilis secondaire
the psa caught out,le psa pris en défaut,Le psa a été pris.
mixed depression and dsm-5: a critical review,dépression mixte et dsm-5 : mise au point critique,dépression mixte et DSM-5: un examen critique
fears and tears from prostate cancer,peurs et pleurs du cancer de prostate,craintes et larmes liées au cancer de la prostate
in process citation,lachgas in der zahnmedizin,dans la citation de procédure
"brimonidine (mirvaso), dermal use","brimonidine (mirvaso), usage dermique","brimonidine (mirvaso), utilisation cutanée"
euthanasia: what the pharmacist should know,euthanasie: ce que doit savoir le pharmacien,Euthanasie: ce que le pharmacien doit savoir
in process citation,promontofixation monotrocart robot-assistée,dans la citation de procédure
in process citation,la cystoprostatectomie robotique : step by step,dans la citation de procédure
in process citation,cystectomie totale chez les octogénaires,dans la citation de procédure
a buddhist view of health and care,regard bouddhiste sur la santé et les soins,une vision bouddhiste de la santé et des soins
islam and caring,l'islam et le prendre soin,l'islam et le bien-être
spirituality in hospitals,la laïcité à l'hôpital,la spiritualité dans les hôpitaux
construction of the french concept of spirituality,la construction de la laïcité française,construction du concept français de spiritualité
living together!,vivre ensemble !,Vivre ensemble !
neurosciences and law,neurosciences et neurodroit,neurosciences et droit
an arm lesion,une lésion cutanée du bras,une lésion au bras
"pycnodysostosis, a case report","la pycnodysostose, à propos d'un cas","pycnodysostose, rapport de cas"
two big cheeks,deux grosses joues,deux grandes joues
resuscitation dosage calculations,calculs de dose en réanimation,calculs du dosage de réanimation
ionizing radiation in cancer treatment,les rayonnements ionisants à usages thérapeutiques,radiation ionisante dans le traitement du cancer
the nurse and the wet wrapping technique,l'infirmière et la technique de wet wrapping,l'infirmière et la technique d'emballage humide
securing the use of thermosensitive drugs,sécuriser l'usage des médicaments thermosensibles,en vue de garantir l'utilisation de médicaments thermosensibles
"new portfolio, a users' manual","nouveau portfolio, mode d'emploi","nouveau portefeuille, manuel d'utilisation"
patient education and breast cancer,éducation thérapeutique et cancer du sein,éducation des patients et cancer du sein
from bearing arms to nursing care,du métier des armes aux soins infirmiers,De la garde des armes à la garde des infirmières
the patient as partner,le par(t)i du partenariat,le patient en tant que partenaire
epiretinal membranes,les membranes épirétiniennes maculaires,Membres épyrétiniens
car driving and psychiatry,conduite automobile et psychiatrie,conduite de voiture et psychiatrie
sleepiness and accidental risk,somnolence et risque accidentel,somnolence et risque accidentel
in process citation,"commentaire du travail de nanda ks et al., pp. 710",dans la citation de procédure
in process citation,"commentaire du travail de pan y et al., pp. 688",dans la citation de procédure
in process citation,"commentaire du travail de kim jw et al., pp. 680",dans la citation de procédure
hepatitis c: reimbursement extension,hépatite c: extension du remboursement,hépatite c: prolongation du remboursement
living history,histoire vivante,histoire de la vie
misophonia and contemporary psychiatry,misophonie et psychiatrie contemporaine,la misophonie et la psychiatrie contemporaine
isolated chest trauma in elderly patients,traumatisme isolé du thorax chez la personne âgée,traumatisme thoracique isolé chez les patients âgés
non invasive ventilation in the emergency setting,ventilation non invasive en urgence,ventilation non invasive dans le cadre d'urgence
upper airway dyspnea in the adult,dyspnée haute chez l'adulte,dyspnée des voies respiratoires supérieures chez l'adulte
"help, i can't breathe","&quot;au secours, jfétouffe...&quot;!",Je ne peux pas respirer.
intramural ectopic pregnancy: about a case,grossesse intra murale à propos d'un cas,grossesse extra-utérine intramurale: environ un cas
an update on adenomyosis and implantation,adénomyose et implantation : mise au point,une mise à jour sur l'adénomyosis et l'implantation
religious orders and hospitals of seine-maritime,ordres et hôpitaux en seine-maritime,Ordre religieux et hôpitaux de la ligne maritime
tribute to maurice rochaix,hommage à maurice rochaix,hommage à Maurice Rochaix
social inequalities in maternal health,inégalités sociales de santé maternelle,les inégalités sociales en matière de santé maternelle
facial palsy sequel and botulinum toxin,séquelles de paralysie faciale et toxine botulique,suite de la paralysie faciale et de la toxine botulique
"cannabis in france, new insights",la situation actuelle du cannabis en france,"Le cannabis en France, de nouvelles idées"
in process citation,fièvre de lassa et ribavirine,dans la citation de procédure
cell phone vs paracetamol,téléphone portable versus paracétamol,téléphone portable contre le paracétamol
the non-uptake of prenatal care in burkina faso,le non-recours aux soins prénatals au burkina faso,le non-accès aux soins prénataux au Burkina Faso
robert labauge (1922-2015),robert labauge (1922-2015),Robert Labauge (1922-2015)
the changing face of public health in quebec,la santé publique en mouvement au québec,Le changement de la santé publique au Québec
new impetus to build the future,de nouvelles impulsions pour construire l'avenir,Un nouvel élan pour construire l'avenir
music soothes the souls,la musique adoucit les mœurs,La musique apaise les âmes.
the habits to move quickly!,des habitudes à bousculer!,Les habitudes de bouger vite !
jean-claude monney,jean-claude monney,Jean-Claude Monney
a quebec-swiss exchange,un échange québec-suisse,un échange entre le Québec et la Suisse
impressed by the openness of the dialogue,impressionnée par l'ouverture au dialogue,impressionné par l'ouverture du dialogue
so many &quot;whys&quot;,tant de &quot;pourquoi&quot;,"tant de "" pourquoi """
broad and complex,breit und complex,large et complexe
"getting involved, wherever it is possible?","sich einbringen, wo immer dies möglich ist?","Entraîner, là où c'est possible?"
"still invisible, but not forgotten","noch unsichtbar, aber nicht vergessen","toujours invisible, mais pas oublié"
management of myelodysplastic syndromes,prise en charge des myélodysplasies,traitement des syndromes myélodisplastiques
long life to the pill!,vive la pilule!,Longue vie à la pilule !
primitive anorectal melanoma,mélanome anorectal primitif,mélanome anorectal primitif
"obesity, bariatric surgery and fertility","obésité, chirurgie bariatrique et fertilité","l'obésité, la chirurgie bariatrique et la fertilité"
multifocal tuberculosis in an immunocompetent,tuberculose multifocale chez un immunocompétent,tuberculose multifocale chez un immunocompetent
fibrous dysplasia: overview,la dysplasie fibreuse: état des lieux,dysplasie fibrose: aperçu
retroperitoneal leiomyoma: report of 2 cases,le léiomyome rétro-péritonéal: à propos de 2 cas,Leomyome rétropéritoneal: rapport de 2 cas
standards and infringement,norme et transgression,normes et infraction
trisomy: blood test reimbursed,trisomie: test sanguin remboursé,trisomie: l'analyse sanguine est remboursée
poetry and its reasons,la poésie a ses raisons,Poésie et ses raisons
a pill to replace physical activity?,une pilule pour remplacer l'activité--physique?,une pilule pour remplacer l'activité physique ?
carotid atherosclerosis and dementia,athérosclérose carotidienne et démences,atherosclerose carotide et démence
what does 0by25 mean?,qu'est ce que « 0by25 » signifie ?,Que signifie 0 par 25 ?
thyroid pathology. pre-test answers,pathologie de la thyroïde. réponses au pré-test,pathologie thyroïdienne. réponses avant le test
drugs news,info-médicaments,nouvelles de drogues
the two faces of sjögren's syndrome,les deux visages du syndrome de gougerot-sjögren,les deux faces du syndrome de Sjögren
cold-induced skin lesions,des lésions cutanées au froid,lésions cutanées provoquées par le froid
persistent myalgia in a 58-year-old man,une biopsie musculaire qui passe mal,myalgie persistante chez un homme de 58 ans
an « atypical » inguinal lymphadenopathy,une adénopathie inguinale « atypique »,une lymphadénopathie inguinale atypique
a rare splenic lesion,une lésion splénique rare,une lésion splénique rare
perinatal neuroprotection in 2015,la neuroprotection périnatale en 2015,neuroprotection périnatale en 2015
"twelve hour work shifts, an opportunity?","le travail en 12 heures, une opportunité ?","Des heures de travail, une opportunité ?"
new myriad of summer-time clinical cases,un nouveau florilège estival de cas cliniques,Une myriade de nouveaux cas cliniques d'été
frantz tumor in a child,tumeur de frantz chez l'enfant : a propos d'un cas,une tumeur de la frantz chez un enfant
hibernoma of the thigh. a case report,hibernome de la cuisse. a propos d'un cas,hibernome de la cuisse. rapport de cas
homage to professor andre govaerts,hommage au professeur andré govaerts,Hommage au professeur Andre Govaerts
homage to professor philippe lheureux,hommage au professeur philippe lheureux,hommage au professeur Philippe Leureux
a 74-year old woman with orofacial granulomatosis,granulomatose oro-faciale chez une femme de 74 ans,une femme de 74 ans atteinte de granulomatose orofaciale
munchausen by proxy syndrome,le syndrome de munchausen par procuration,munchausen par syndrome de proxy
an exceptional endocervical nodule,un nodule endocervical exceptionnel,un nodule endocervical exceptionnel
thyroid pathology. pre-test,pathologie de la thyroïde. pré-test,pathologie thyroïdienne. pré-test
physician practice improvement,les experts internationaux de la santé,amélioration de la pratique du médecin
progress in head and neck cancer,"cancérologie orl, de nouveaux progrès",progression du cancer de la tête et du cou
rare metastasis of a pulmonary adenocarcinoma,métastase rare d'un adenocarcinoma pulmonaire,métastases rares d'adénocarcinome pulmonaire
desmoid fibromatosis of the lower limb,fibromatose desmoïde de la jambe,fibromatose desmoïde de l'extrémité inférieure
nursing management of pain,l'infirmière face à la douleur,traitement de la douleur par les soins infirmiers
gestational diabetes,le diabète gestationnel,diabète gestationnel
"nursing tutor, working closely with students","infirmière tutrice, au plus près des étudiants","enseignant infirmière, travaillant en étroite collaboration avec les étudiants"
coma and communication,coma et communication,coma et communication
ethics and coma,éthique et coma,Éthique et coma
coma in france today,les comas en france aujourd'hui,en coma en France aujourd'hui
nursing care of the coma patient,les soignants face aux comas,soins infirmiers au patient en coma
honoring caregivers,mettre à l'honneur les proches aidants,honorer les personnes qui s'occupent d'eux
pneumonia in the elderly,7/20 les pneumopathies du sujet âgé,pneumonie chez les personnes âgées
generalized pruritus,17/17 un prurit généralisé,prurit généralisé
pleasure and aging in the elderly,plaisir et vieillissement chez les plus de 65 ans,Le plaisir et le vieillissement chez les personnes âgées
"alzheimer's disease, caregiving and frailty","maladie d'alzheimer, relation d'aide et fragilité","maladie d'Alzheimer, soins et fragilité"
supporting caregivers,"et vous, comment allez-vous ?",soutien aux aidants
quality or quantity of life?,qualité ou quantité de vie ?,la qualité ou la quantité de vie?
infantile scurvy: two cases,scorbut chez l'enfant : deux cas,le scorbut infantile: deux cas
type i interferonopathies,interféronopathies de type i,Interféronopathies de type i
4/5 melanie klein,4/5 melanie klein,4/5 Melanie Klein
a warrior named gaspard,un guerrier nommé gaspard,un guerrier nommé Gaspard
the benefit of self-assessment in rehabilitation,intérêt de l'auto-évaluation en réhabilitation,l'avantage de l'auto-évaluation dans le domaine de la réadaptation
nursing support in a housing association apartment,accompagnement infirmier en appartement associatif,soutien aux soins infirmiers dans un appartement de l'association du logement
recovery,au sujet du rétablissement,rétablissement
"soins psychiatrie, a reference for 35 years","soins psychiatrie, une référence depuis 35 ans","La psychiatrie, une référence depuis 35 ans"
practical risk analysis,analyse des risques a priori en pratique,analyse pratique des risques
ischemic stroke in the young adult,infarctus cérébral du sujet jeune,accident vasculaire cérébral ischémique chez le jeune adulte
pseudo-coats diagnosed in 58-year-old woman,pseudo-coats diagnostiqué chez une femme de 58ans,pseudo-côtes diagnostiquées chez une femme de 58 ans
citizen partners for mental health,citoyens partenaires pour la santé mentale,partenaires citoyens pour la santé mentale
anaemia and chronic diseases,anémie et maladies chroniques,anémie et maladies chroniques
heart failure and comorbidities,insuffisance cardiaque et pathologies associées,insuffisance cardiaque et comorbidités
presumed ocular histoplasmosis syndrome,syndrome d'histoplasmose oculaire présumé,syndrome présumé d' histoplasmose oculaire
radiomics: definition and clinical development,définition et applications cliniques des radiomics,radiomie: définition et développement clinique
experience feedback committees (crex) and beyond…,les crex et après…,les comités de rétroaction de l'expérience (CREX) et au-delà...
the quality of life in schizophrenia,la qualité de vie en schizophrénie,la qualité de vie chez la schizophrénie
atypical presentation of orbital sarcoidosis,présentation atypique d'une sarcoïdose orbitaire,présentation atypique de sarcoïdose orbitale
leprosy is definitely not a disease of the past,la lèpre n'est pas une maladie du passé,La lèpre n'est certainement pas une maladie du passé.
hiv-1 drives the migration of macrophages,le vih-1 pilote la migration des macrophages,le VIH-1 entraîne la migration des macrophages
antiplatelet drugs: what's new?,les antiplaquettaires : quoi de neuf ?,Les anti-plaquettes: qu'est-ce qui est nouveau ?
current management of hepatocellular carcinoma,prise en charge du carcinome hépatocellulaire,traitement actuel du carcinome hépatocellulaire
new kidney transplants,les nouveaux greffons rénaux,nouvelles greffes de rein
in memoriam. charles j. burstone (1928-2015),in memoriam. charles j. burstone (1928-2015),dans le mémoire. Charles J. Burstone (1928-2015)
the prehistory of orthodontics,la préhistoire de l'orthodontie,la préhistoire de l'orthodontie
in process citation,"commentaire du travail de bove v et al., pp. 611",dans la citation de procédure
macular serpiginous choroiditis,choroïdite serpigineuse maculaire,choroidite serpigineuse maculaire
sebaceous carcinoma of the parotid gland,carcinome sébacé de la glande parotide,carcinome sébacée de la glande parotide
facial paralysis: attitude practice,paralysie faciale: attitude pratique,paralysie faciale: pratique de l'attitude
diagnostic ultrasound in pneumothorax,diagnostic échographique du pneumothorax,ultrasons diagnostiques dans le pneumothorax
early cardiotoxicity of hydroxychloroquine,cardiotoxicité précoce de l'hydroxychloroquine,cardiotoxicité précoce de l'hydroxychloroquine
pancreatic pseudotumor,une pseudo-tumeur pancréatique,pseudotumore du pancréas
infectious diseases news,infos infectieux,nouvelles des maladies infectieuses
myelitis revealing sarcoidosis,myélite sarcoïdosique révélatrice,myélite révélatrice de sarcoïdose
in process citation,"commentaire du travail de tsujii y et al., pp. 775",dans la citation de procédure
poems syndrome: a diagnosis to not to ignore,poems syndrome: un diagnostic à ne pas méconnaitre,syndrome de poèmes: un diagnostic à ne pas ignorer
cystic lymphangioma of the parotid gland,lymphangiome kystique de la parotide,lymphangiome kystique de la glande parotide
a rare case of pure subtalar dislocation,un cas rare de luxation sous-talienne pure,un cas rare de dislocation subtalaire pure
waardenburg syndrome,syndrome de waardenburg,syndrome de Waardenburg
"report summary--mental illness in canada, 2015",journées de neurologie de langue française 2015,"Rapport résumé - Maladie mentale au Canada, 2015"
social inequalities in perinatal health,inégalités sociales en santé périnatale,inégalités sociales dans la santé périnatale
chronic lymphocytic leukemia,leucémies lymphoïdes chroniques,leucémie lymphocytaire chronique
addiction to alcohol,addiction à l'alcool,dépendance à l'alcool
monitoring and complications of venous access,surveillance et complications des abords veineux,surveillance et complications de l'accès veineux
breastfeeding,allaitement maternel,l'allaitement maternel
