en,fr,predicted
cutaneous vascular anomalies in children,les anomalies vasculaires cutanées chez l'enfant,a systomological study of a systomological study of a systomological study of a systomological study
therapeutic algorithm for low back pain,algorithme thérapeutique de la lombalgie,algorithme thérapeutique pour la douleur au dos
are orthopedic inner soles useful or not,utilité des semelles orthopédiques,semelles intérieures orthopédiques sont utiles ou non
intra-articular injections,les injections intra-articulaires,b) Injections intraarticulaires
skin sampling for the general practitioner,prélèvements cutanés en médecine générale,chantillonnage de la peau pour le praticien général
preventing cervical cancer,la prévention du cancer du col utérin,Prévention du cancer du col de l'utérus
melanoma secondary prevention,dépistage du mélanome,melanoma prévention secondaire
systematic follow-up of infants born preterm,le suivi systématique des grands prématurés,Suivi systématique des nourrissons nés avant l'âge
editorial from the editor-in-chief,l'editorial du redacteur en chef,éditorial du rédacteur en chef
editorial from a.m.u.b. 's president,l'editorial du president de l'a.m.u.b,éditorial du président de l'Assemblée générale
renal transplantation from abo incompatible donors,transplantation rénale abo incompatible, l'aide de l'analyse de l'impact de la greffe sur la santé et la santé
infertility and kidney transplantation,infertilité et greffe rénale,l’infertilité et la transplantation de reins
great moments in renal transplantation,grands moments de la transplantation rénale,et l’adoption d’un mécanisme de retransplantation rénale
in process citation,"&quot;somaticien&quot;, un terme inadéquat",en citation à l'égard du processus
advocacy,advocacy,l'action en faveur des femmes
"arson and pyromania, update 2015",incendiaires et pyromanes,"incendie et pyromanie, mise à jour 2015"
bipolar disorders and self-stigma,troubles bipolaires et autostigmatisation, l’aide de l’analyse de la stérilité et de l’adoption de mesures de prévention et de prévention des maladies
what trends in psychiatry?,où va la psychiatrie?,Quelles tendances en psychiatrie?
interim prosthesis complication,complication de prothèse intermédiaire,complication prothèse intérimaire
neonatal unilateral paralysis of the radial nerve,paralysie néonatal unilatérale du nerf radial, l'aide d'un dispositif de paralysie unilatérale néonatale du nerf radial
pancreatic hydatid cyst: a case about,kyste hydatique pancréatique: à propos d'un cas," l’aide d’un échantillon de l’échantillon, il y a eu eu eu eu eu eu d’"
hydatid cyst of the adrenal: about a case,kyste hydatique de la surrénale: à propos d'un cas,kyste hydatid de la surrénale : environ un cas
glanzmann thrombasthenia: about 11 cases,thrombasthénie de glanzmann: à propos de 11 cas,glanzmann thrombasthenia: environ 11 cas
a colonic mucosae with brushing border,la bordure en brosse d'une muqueuse colique,a muqueuse colonique à bord de la bordure de brouillard
a rare tumor of the ampulla of vater,une tumeur rare de l'ampoule de vater,d’une tumeur rare de l’ampulla du vater
a testis with a misleading clinical aspect,un testicule à la clinique trompeuse,a testis ayant un aspect clinique trompeur
sciatic nerve intraneural perineurioma,périneuriome intraneural du nerf sciatique, l'aide d'un dispositif de l'infrastructure et de l'infrastructure d'un dispositif de l'infrastructure 
comorbidities of copd,les comorbidités dans la bpco,comorbidités de la police
giant cell arteritis and unexplained hypoxemia,artérite à cellules géantes et hypoxie inexpliquée, l'aide d'une étude de l'arthrite cellulaire géante et d'une hypoxémie inexpliquée
congenital radio-ulnar synostosis,synostose radio-ulnaire,Synostose radio-ulnale congénitale
cluster headache and brain imagery,algie vasculaire de la face : place de l'imagerie,céphalées et images cérébrales
ageing: a matter of heart?,vieillissement - une question de cœur ?,vieillissement : une question de coeur?
neuroinflammation: dr jekyll or mr hyde?,la neuro-inflammation - dr jekyll ou mr hyde ?,dr jekyll ou mr hyde?
lung resistome,le résistome pulmonaire,Résistance pulmonaire
the emerging concept of lung mycobiome,un nouveau concept - le mycobiome pulmonaire,l’émergence du concept de mycobiome pulmonaire
the disease and the humanities,la maladie et les humanités,l’état de santé et les sciences humaines
autoimmune hemolytic anemia in children,anémie hémolytique auto-immune de l'enfant," l’aide d’un outil de recherche et de recherche en santé, l’analyse de l’incidence de l’incidence de l’incidence de"
in process citation,8/20 les désordres hydro-électrolytiques,en citation à l'égard du processus
the locations of mobile geriatric teams in france,les équipes mobiles de gériatrie en france,l’emplacement des équipes gériatriques mobiles en france
in process citation,une riche expérience,en citation à l'égard du processus
singing as an aid in neonatology,"le chant, un support de soins en néonatologie",chant en tant qu'aide à la néonatologie
&quot;i became a mother in prison.&quot;,« je suis devenue mère en prison »,Maternité derrière les barreaux
motherhood behind bars,la maternité détenue,le droit d'être mère en prison
the right to be a mother in prison,le droit d'être mère en prison,"femme et mère en prison, réalité difficile"
"woman and mother in prison, a difficult reality","femme et mère en prison, une réalité difficile",en citation à l'égard du processus
in process citation,naître et grandir dans l'univers carcéral,en citation à l'égard du processus
in process citation,"nutrition, communiquons autrement !","l’ingenol mébutate (picato), administration cutanée"
"ingenol mebutate (picato), dermal administration","mêbutate d'ingênol (picato), voie dermique","sofosbuvir (sovaldi), administration orale"
"sofosbuvir (sovaldi), oral administration","sofosbuvir (sovaldi), voie orale","simeprevir (olysio), administration orale"
"simeprevir (olysio), oral administration","simêprêvir (olysio), administration orale",Analyse des concepts
concept analysis,l'analyse de concept,en citation à l'égard du processus
in process citation,pour la diffusion des soins palliatifs à domicile,"- l'élimination de la vie, la promotion de la procédure collégiale"
"end of life, promoting the collegial procedure","fin de vie, promouvoir la procédure collégiale",en citation à l'égard du processus
in process citation,un accompagnement pluriprofessionnel,en citation à l'égard du processus
in process citation,pour une véritable attention à la douleur,"l’indication de la relation, un ingrédient clé de la prise en charge"
"the relationship, a key ingredient of care","la relation, un ingrédient incontournable du soin","l’autre, l’objet et le lien social"
"the other, the object and the social connection","l'autre, l'objet et le lien social","jean oury, j'ai une poumiste."
"jean oury, &quot;i am a poumista&quot;","jean oury, « je suis poumiste »",un dialogue insensé
an insane dialogue,un dialogue de fous,uvre en psychiatrie : une question politique
work in psychiatry: a political question,du travail en psychiatrie : une question politique,"(communité) psychiatrie, parenthèse?"
"(community) psychiatry, a parenthesis?","la psychiatrie (de secteur), une parenthèse ?",en citation à l'égard du processus
in process citation,"la démocratie sanitaire, une utopie ?",en citation à l'égard du processus
in process citation,la clinique au cœur de la violence hospitalière,rien à divulguer?
nothing to disclose?,rien à déclarer ?,ostéoma chorodique
choroidal osteoma,ostéome choroïdien,Endophthalmite post-traumatique
post-traumatic endophthalmitis,les endophtalmies post-traumatiques,Nouvelles sur le vaccin
vaccine news,info-vaccins,« l'impatiente » : expression par l'art
&quot;les impatients&quot;: expression through art,les impatients : un parfum de santé,sommeil : 1965 à 2015
sleep medicine: 1965 to 2015,la médecine du sommeil : 1965-2015,psychiatrie en quebec. alors et maintenant
psychiatry in quebec. then and now,la psychiatrie au québec : autrefois/maintenant,éditorial
editorial,éditorial,Dégénération corticobasale atypique
atypical onset corticobasal degeneration,dégénérescence corticobasale à début atypique,ii) et ii) et ii) et ii) et ii) et ii) et ii) et
neonatal mucolipidosis type ii,révélation néonatale d'une mucolipidose de type ii,"Situation du paludisme, 2015"
"malaria situation, 2015","commentaire du travail de min bh et al., pp. 784",céréales et céréales
cluster headache differential diagnosis,diagnostic différentiel de l'avf,févres récurrentes en enfance
recurrent fevers in childhood,les fièvres récurrentes de l'enfant,Nodules sous-cutanés impliquant les avant-bras
subcutaneous nodules involving the forearms,des nodules sous-cutanés des avant-bras,raphe médian masculin
male median raphe,le raphé médian chez l'homme,lentigo maligna
lentigo maligna,mélanome lentigineux,en citation à l'égard du processus
in process citation,l'infirmière et la gestion d'une plaie,"mes amis hospi, un réseau social pour les patients"
"my hospi friends, a social network for patients","my hospi friends, le réseau social des patients",et ses traitements non médicinaux
depression and its non-drug treatments,la dépression et ses traitements non médicamenteux,céréales et céréales
cluster headache treatment,traitements de l'algie vasculaire de la face,Pollution atmosphérique
air pollution,cœur et pollution particulaire,en citation à l'égard du processus
in process citation,clinique,en citation à l'égard du processus
in process citation,préclinique,en citation à l'égard du processus
in process citation,génétique,gne myopathie
gne myopathy,myopathie gne,l'exceptionnelle vue d'un nouveau site Web...
exceptional view of a new website…,vue exceptionnelle d'un nouveau site…," l'aide de l'échantillon, il y a eu une augmentation de la teneur en oxygène et en oxygène et en"
persistent tunica vasculosa lentis,persistance de la tunica vasculosa lentis,en citation à l'égard du processus
in process citation,resection de prostate monopolaire en ambulatoire,en citation à l'égard du processus
in process citation,sexualité de l'homme âgé en milieu africain,en citation à l'égard du processus
in process citation,contusion sur rein pathologique,en citation à l'égard du processus
in process citation,longueurs d'uretères : sommes-nous tous égaux ?,et lésions esophageales
medications and esophageal injuries,medicaments et lésions à l'oesophage,- - - - - - - - - - - - - - - - - - - - - - - - 
pregnancies in quebec,les grossesses au québec,Démence frontotemporale
frontotemporal dementia,démence frontotemporale,aigu infarctus myocardique? un essai d'une heure
acute myocardial infarction? a one hour test,infarctus aigu du myocarde? un test d'une heure,yoga : l'ami du coeur
yoga: the heart's friend,le yoga: l'ami du coeur,environnement : une réponse
environmental health: a response,la santé environnementale: une réponse,observatoire : au service de la santé des femmes
weobservatory: in the service of women's health,weobservatory: au service de la santé des femmes,laurentides/lanaudière: le bracelet bleu
laurentides/lanaudière: the blue bracelet,laurentides/lanaudière: le bracelet bleu,avc vite :
campaign to act: &quot;avc vite&quot;,campagne pour agir: &quot;avc vite&quot;,Déclaration commune : travail de concert
joint statement: working together,déclaration conjointe: travailler ensemble,l’emplacement des pédiatres dans le dépistage des nouveau-nés
the place of pediatricians in newborn screening,place du pédiatre dans le dépistage néonatal, l'aide de recommandations
breast pain: recommendations,syndrome douloureux mammaire : recommandations,l'étude promovac
the promovac study,l'etude promovac,forum sur l'émergence des dirigeants de demain
forum on the emergence of tomorrow's leaders,forum relève: les leaders de demain,Afrique : sécurité après l'ébola
africa: security after ebola,afrique : sécurité après ebola,belge : habilitation des patients
belgium: patient empowerment,belgique: empowerment des patients,prévention : rôle des soins infirmiers
prevention: the nursing role,prévention: le rôle infirmier,alcoolisme et toxicomanie chez les aînés
alcohol abuse by seniors,consommation excessive d'alcool par les aînés,montérégie : évaluation du risque de suicide
montérégie: assessing the risk of suicide,montérégie: évaluer le risque de suicide,un réseau sous le signe du changement
a network under the sign of change,un réseau sous le signe du changement,lyne cloutier
lyne cloutier,lyne cloutier,.... l’étranger
sleep . . . that stranger,"le sommeil, cet inconnu",le patient du lit no 3
the patient of bed no. 3,la patiente du box 3,ne pas recourir : quels sont les prédicteurs?
no reflow: what are the predictors?,no reflow : quels facteurs prédictifs ?,l'administration de la dystocie de l'épaule
management of shoulder dystocia,conduite à tenir en cas de dystocie des épaules,Patrimoine pharmaceutique
pharmaceutical heritage,le patrimoine pharmaceutique,augmentation et chute des linas de lactarium
rise and fall of lactarium linas,grandeur et décadence du lactarium linas,et l'obésité
contraception and obesity,contraception et obésité,épidémiologie de la dystocie de l'épaule
epidemiology of shoulder dystocia,épidémiologie de la dystocie des épaules, l'aide de statines chez les patients âgés
statins use in elderly patients,place des statines chez le sujet âgé," l'aide d'une étude d'impact sur la santé, l'évaluation des risques et la santé en milieu rural"
west syndrome: about an observation,syndrome de west: à propos d'une observation,gangrene fournier complique l'imposition
fournier gangrene complicating impalement,la gangrène de fournier compliquant un empalement,"Textiloma abdominal, sur un cas"
"abdominal textiloma, about a case","textilome abdominal, à propos d'un cas",angiobehçet: entre le marteau et l'anvil!
angiobehçet: between the hammer and the anvil!,un angiobehçet: entre le marteau et l'enclume!,Conclusions et perspectives
conclusion and perspectives,conclusion et perspectives,l’aspect de la chirurgie du cancer de la prostate
the issue of prostate cancer surgery,l'enjeu de la chirurgie du cancer de la prostate,atypique de la maladie de lyme
atypical form of lyme disease,forme atypique d'une maladie de lyme,schwannome historique maligne du pré-bras
malignant historical schwannoma of the forearm,schwannome malin historique de l'avant bras,fibromyxode sarcome d'endroit inhabituel
fibromyxoid sarcoma of unusual location,sarcome fibromyxoïde de localisation inhabituelle,organismes étrangers en ent : expérience de dix ans
foreign bodies in ent: ten-year experience,les corps étrangers en orl: expérience de dix ans," l’aide d’un outil de recherche et de recherche en santé, l’infection à VIH a été observée dans les établissements d’enseignement supérieur."
cryptococcosis during hiv infection,la cryptococcose au cours de l'infection à vih,anormales rénaux
abnormal kidneys,des reins anormaux,ovocyte vitrification : un outil pour l'avenir
ovocyte vitrification: a tool for the future,la vitrification ovocytaire : un outil d'avenir,Molecular and Molecular Biology of a randomized controlled trial
pathophysiology of human mitochondrial diseases,physiopathologie des maladies mitochondriales,"teriflunomide (aubagio), administration orale"
"teriflunomide (aubagio), oral administration","tériflunomide (aubagio), administration orale",dolutegravir (tivicay) oralement
dolutegravir (tivicay) orally,"dolutégravir (tivicay), voie orale",l’apprentissage des soins infirmiers dans les hôpitaux
understanding nursing care in hospitals,comprendre le travail de soins à l'hôpital,"innover, inventer, découvrir... recherche"
"innovate, invent, discover ... research","innover, inventer, découvrir ... chercher",coordination de la surveillance des hôpitaux
coordination of hospital surveillance,la coordination des vigilances à l'hôpital,l'utilité des inutiles
the usefulness of the useless,l'utilité de l'inutile,tarmed: a de plus en plus confrontational reform
tarmed: an increasingly confrontational reform,tarmed: une réforme toujours plus conflictuelle, l’aide d’un examen non invasive de trisomy 21
noninvasive screening for trisomy 21,le dépistage non invasif de la trisomie 21,"La gestion des maladies, une vieille idée de mode?"
"disease management, an old fashion idea?","disease management, idée d'autrefois?",achalasia: quel traitement choisir en 2015?
achalasia: which treatment to choose in 2015?,achalasie: queulle thérapie choisir en 2015 ?,"La maladie de la whipp, quand en pensez-vous?"
"whipple's disease, when to think about it?",maladie de whipple: quand y penser?,mus musculus sapiens
mus musculus sapiens,mus musculus sapiens,en citation à l'égard du processus
in process citation,conclusion,agressivité fibromatose du cou
aggressive fibromatosis of the neck,fibromatose agressive du cou,Piège à haute pression
high pressure trap,piège à haute tension,"raspail, don quixote de camphor!"
"raspail, don quixote of camphor!","raspail, don quichotte du camphre!", l'aide d'un outil de recherche et de recherche en santé
pseudotumoral malakoplakia of the breast,malakoplakie pseudotumorale du sein,l’ostéogenèse imperfecta : rapport d’un cas
osteogenesis imperfecta: report of a case,l'ostéogenèse imparfaite: à propos d'un cas,il rouge : pensez à la rosacée
eye redness: think of rosacea,rougeur oculaire: penser à la rosacée,a petite malformation vasculaire induite
a small induced vascular malformation,une petite malformation vasculaire provoquée,Qu'en est-il si toutes les causes n'étaient pas étudiées?
what if all causes were not investigated?,et si toutes les causes n'étaient pas explorées?,"Participation des collaborateurs, clé du succès"
"involvement of collaborators, key to success","l'implication des collaborateurs, clef du succàs",l'horloge de george
george's clock,l'horloge de georges,d’un engagement à l’hôpital des ours d’élevage
an engagement at the teddy bear hospital,un engagement à l'hôpital des nounours,épidémie insidieuse
insidious epidemic,sournoise épidémie,avec persévérance et passion
with perseverance and passion,mit ausdauer und leidenschaft,en fin de compte au service de l'humanité
in the end in service of humanity,am ende im dienst des menschen,en citation à l'égard du processus
in process citation,living lab macvia handicap,épilepsie et conduite
epilepsy and driving,épilepsie et conduite automobile,en citation à l'égard du processus
in process citation,living lab macvia maladies infectieuses chroniques,encourageants commentaires et controverses
encouraging comments and controversies,tribunes libres et débats transversaux,séquence des bébés?
sequencing babies?,séquencer les bébés ? - chroniques génomiques,l'aléa et le sort des cellules
randomness and cell fate,hasard et destinée cellulaire,hydatidiforme complète
complete hydatidiform mole,la môle hydatiforme complète,prader-willi syndrome en 2015
prader-willi syndrome in 2015,le syndrome de prader-willi en 2015,Investir dans le savoir
investing in knowledge,investir dans la connaissance,aveugles
blind,aveugle,l’action du comité éditorial
the actions of the editorial committee,les actions du comité éditorial,en citation à l'égard du processus
in process citation,living lab macvia-lr fragilité,en citation à l'égard du processus
in process citation,living lab macvia maladies chroniques,en citation à l'égard du processus
in process citation,introduction, l'aide d'un échantillon de pénis
tuberculous ulceration of the penis,ulcération pénienne tuberculeuse,syphilis secondaire
secondary syphilis,syphilis secondaire,l’ascension à la psa
the psa caught out,le psa pris en défaut,dsm-5 et mixed depression: a critical review
mixed depression and dsm-5: a critical review,dépression mixte et dsm-5 : mise au point critique,craintes et larmes du cancer de la prostate
fears and tears from prostate cancer,peurs et pleurs du cancer de prostate,en citation à l'égard du processus
in process citation,lachgas in der zahnmedizin,"brimonidine (mirvaso), utilisation cutanée"
"brimonidine (mirvaso), dermal use","brimonidine (mirvaso), usage dermique",euthanasie : ce que le pharmacien devrait savoir
euthanasia: what the pharmacist should know,euthanasie: ce que doit savoir le pharmacien,en citation à l'égard du processus
in process citation,promontofixation monotrocart robot-assistée,en citation à l'égard du processus
in process citation,la cystoprostatectomie robotique : step by step,en citation à l'égard du processus
in process citation,cystectomie totale chez les octogénaires,a vision buddhiste de la santé et des soins
a buddhist view of health and care,regard bouddhiste sur la santé et les soins,islam et compassion
islam and caring,l'islam et le prendre soin,spiritualité dans les hôpitaux
spirituality in hospitals,la laïcité à l'hôpital,construction du concept français de spiritualité
construction of the french concept of spirituality,la construction de la laïcité française,vivre ensemble!
living together!,vivre ensemble !,et l’adoption de lois
neurosciences and law,neurosciences et neurodroit,d'une lésion de bras
an arm lesion,une lésion cutanée du bras,"pycnodysostose, rapport de cas"
"pycnodysostosis, a case report","la pycnodysostose, à propos d'un cas"," l'heure actuelle, il n'y a pas de sommeil à l'heure actuelle."
two big cheeks,deux grosses joues,d'essais d'essais d'essais d'essais d'essais d'essais d'essais d'essais d'essais d'essai
resuscitation dosage calculations,calculs de dose en réanimation,ionizing radiation in cancer treatment
ionizing radiation in cancer treatment,les rayonnements ionisants à usages thérapeutiques,l'infirmière et la technique d'emballage humide
the nurse and the wet wrapping technique,l'infirmière et la technique de wet wrapping,l’utilisation de médicaments thermosensibles
securing the use of thermosensitive drugs,sécuriser l'usage des médicaments thermosensibles,"d'un nouveau portefeuille, un manuel d'utilisateurs"
"new portfolio, a users' manual","nouveau portfolio, mode d'emploi", l'intention des patients et du cancer du sein
patient education and breast cancer,éducation thérapeutique et cancer du sein,- d'un port d'armes aux soins infirmiers
from bearing arms to nursing care,du métier des armes aux soins infirmiers,l’associé
the patient as partner,le par(t)i du partenariat,et l'épaule
epiretinal membranes,les membranes épirétiniennes maculaires,- l'automobile et la psychiatrie
car driving and psychiatry,conduite automobile et psychiatrie," l'heure actuelle, il n'y a pas de sommeil et de risque accidentel"
sleepiness and accidental risk,somnolence et risque accidentel,en citation à l'égard du processus
in process citation,"commentaire du travail de nanda ks et al., pp. 710",en citation à l'égard du processus
in process citation,"commentaire du travail de pan y et al., pp. 688",en citation à l'égard du processus
in process citation,"commentaire du travail de kim jw et al., pp. 680",hépatite c : prolongation du remboursement
hepatitis c: reimbursement extension,hépatite c: extension du remboursement,Histoire vivante
living history,histoire vivante,misophonia et psychiatrie contemporaine
misophonia and contemporary psychiatry,misophonie et psychiatrie contemporaine," l’aide d’un outil de recherche et de recherche en santé, l’analyse de l’impact des maladies et des maladies a été effectuée en 2004"
isolated chest trauma in elderly patients,traumatisme isolé du thorax chez la personne âgée,ventilation non invasive dans le contexte d'urgence
non invasive ventilation in the emergency setting,ventilation non invasive en urgence," l’aide d’un outil de recherche et de recherche en santé, l’étude a révélé que les auteurs avaient eu accès à des données d"
upper airway dyspnea in the adult,dyspnée haute chez l'adulte,"l'aide, je ne peux pas respirer"
"help, i can't breathe","&quot;au secours, jfétouffe...&quot;!"," l’aide d’un examen d’impact sur la santé, l’évaluation des risques et la santé en milieu rural a été effectuée en 2004."
intramural ectopic pregnancy: about a case,grossesse intra murale à propos d'un cas,une mise à jour sur l'adénomyose et l'implantation
an update on adenomyosis and implantation,adénomyose et implantation : mise au point,ordres religieux et hôpitaux de la sennemaritime
religious orders and hospitals of seine-maritime,ordres et hôpitaux en seine-maritime,hommage au maurice rochaix
tribute to maurice rochaix,hommage à maurice rochaix,inégalités sociales dans la santé maternelle
social inequalities in maternal health,inégalités sociales de santé maternelle,séquence faciale palsy et toxine botulinum
facial palsy sequel and botulinum toxin,séquelles de paralysie faciale et toxine botulique,"cannabis in france, nouvelles perspectives"
"cannabis in france, new insights",la situation actuelle du cannabis en france,en citation à l'égard du processus
in process citation,fièvre de lassa et ribavirine,et l’adoption d’un tel système
cell phone vs paracetamol,téléphone portable versus paracétamol,et l’absence de soins prénatals dans le burkina faso
the non-uptake of prenatal care in burkina faso,le non-recours aux soins prénatals au burkina faso,robert labauge (1922-2015)
robert labauge (1922-2015),robert labauge (1922-2015),l’évolution de la santé publique en quebec
the changing face of public health in quebec,la santé publique en mouvement au québec,l'avenir
new impetus to build the future,de nouvelles impulsions pour construire l'avenir,La musique apaise l'âme
music soothes the souls,la musique adoucit les mœurs,les habitudes de se déplacer rapidement!
the habits to move quickly!,des habitudes à bousculer!,jean-claude monney
jean-claude monney,jean-claude monney,échange quebec-swiss
a quebec-swiss exchange,un échange québec-suisse,impressionnée par l'ouverture du dialogue
impressed by the openness of the dialogue,impressionnée par l'ouverture au dialogue,tellement de « pourquoi »
so many &quot;whys&quot;,tant de &quot;pourquoi&quot;,large et complexe
broad and complex,breit und complex,"s’impliquer, où que ce soit possible?"
"getting involved, wherever it is possible?","sich einbringen, wo immer dies möglich ist?","ne sont pas oubliées, mais toujours invisibles"
"still invisible, but not forgotten","noch unsichtbar, aber nicht vergessen",l’administration des syndromes myélodysplasiques
management of myelodysplastic syndromes,prise en charge des myélodysplasies,long life to the pill!
long life to the pill!,vive la pilule!,mélan anorectal primitive
primitive anorectal melanoma,mélanome anorectal primitif,"obésité, chirurgie bariatrice et fécondité"
"obesity, bariatric surgery and fertility","obésité, chirurgie bariatrique et fertilité",et l’infection à l’infection à l’infection à l’infection à l’infection à l’infection à l’in
multifocal tuberculosis in an immunocompetent,tuberculose multifocale chez un immunocompétent," l'aide d'un outil de recherche et de recherche en santé, l'Institut a établi un outil de recherche et de recherche pour l'évaluation"
fibrous dysplasia: overview,la dysplasie fibreuse: état des lieux,rétropéritonéal leiomyoma: rapport de 2 cas
retroperitoneal leiomyoma: report of 2 cases,le léiomyome rétro-péritonéal: à propos de 2 cas,normes et infractions
standards and infringement,norme et transgression,l’essai sanguin remboursé
trisomy: blood test reimbursed,trisomie: test sanguin remboursé,et ses raisons
poetry and its reasons,la poésie a ses raisons,une pilule pour remplacer l'activité physique?
a pill to replace physical activity?,une pilule pour remplacer l'activité--physique?,l’athérosclérose carotid et la démence
carotid atherosclerosis and dementia,athérosclérose carotidienne et démences,Qu'est-ce que 0by25 signifie?
what does 0by25 mean?,qu'est ce que « 0by25 » signifie ?,Pathologie de la thyrode. réponses pré-test
thyroid pathology. pre-test answers,pathologie de la thyroïde. réponses au pré-test,Nouvelles sur les médicaments
drugs news,info-médicaments,les deux visages du syndrome de sjögren
the two faces of sjögren's syndrome,les deux visages du syndrome de gougerot-sjögren,Lésions cutanées provoquées par le froid
cold-induced skin lesions,des lésions cutanées au froid,Myalgie persistante chez un homme de 58 ans
persistent myalgia in a 58-year-old man,une biopsie musculaire qui passe mal,a atypique lymphadénopathie inguinale
an « atypical » inguinal lymphadenopathy,une adénopathie inguinale « atypique »,lésion splénique rare
a rare splenic lesion,une lésion splénique rare,périnatale neuroprotection en 2015
perinatal neuroprotection in 2015,la neuroprotection périnatale en 2015," l’heure actuelle, il y a eu un emploi d’une durée de douze heures, une occasion?"
"twelve hour work shifts, an opportunity?","le travail en 12 heures, une opportunité ?",et l’insuffisance des maladies et des maladies chroniques
new myriad of summer-time clinical cases,un nouveau florilège estival de cas cliniques,frantz tumor chez un enfant
frantz tumor in a child,tumeur de frantz chez l'enfant : a propos d'un cas,l’hibernome de la cuisse. un rapport de cas
hibernoma of the thigh. a case report,hibernome de la cuisse. a propos d'un cas,hommage au professeur etre govaerts
homage to professor andre govaerts,hommage au professeur andré govaerts,hommage au professeur philippe lheureux
homage to professor philippe lheureux,hommage au professeur philippe lheureux,a femme de 74 ans souffrant de granulomatose orofaciale
a 74-year old woman with orofacial granulomatosis,granulomatose oro-faciale chez une femme de 74 ans,munchausen par syndrome de proxy
munchausen by proxy syndrome,le syndrome de munchausen par procuration,un nodule endocervique exceptionnel
an exceptional endocervical nodule,un nodule endocervical exceptionnel,THyrode pathologie. pré-test
thyroid pathology. pre-test,pathologie de la thyroïde. pré-test,Amélioration de la pratique médicale
physician practice improvement,les experts internationaux de la santé,et l’évolution du cancer de la tête et du cou
progress in head and neck cancer,"cancérologie orl, de nouveaux progrès", l'aide d'un adénocarcinome pulmonaire
rare metastasis of a pulmonary adenocarcinoma,métastase rare d'un adenocarcinoma pulmonaire,l’absorption de l’absorption de l’absorption de l’absorption de l’absorption de l’absorption de l’absorption de
desmoid fibromatosis of the lower limb,fibromatose desmoïde de la jambe,l’infirmière et la santé
nursing management of pain,l'infirmière face à la douleur,diabète gestationnel
gestational diabetes,le diabète gestationnel,"Tutor en soins infirmiers, travaillant en étroite collaboration avec les étudiants"
"nursing tutor, working closely with students","infirmière tutrice, au plus près des étudiants",coma et communication
coma and communication,coma et communication,éthique et coma
ethics and coma,éthique et coma,coma en france aujourd'hui
coma in france today,les comas en france aujourd'hui,soins infirmiers du patient de coma
nursing care of the coma patient,les soignants face aux comas,honorer les aidants naturels
honoring caregivers,mettre à l'honneur les proches aidants,l’infection à VIH et à VIH en Afrique
pneumonia in the elderly,7/20 les pneumopathies du sujet âgé,pruritus généralisé
generalized pruritus,17/17 un prurit généralisé,et vieillissement des personnes âgées
pleasure and aging in the elderly,plaisir et vieillissement chez les plus de 65 ans,"l'alzheimer, la maladie, la prestation de soins et la fragilité"
"alzheimer's disease, caregiving and frailty","maladie d'alzheimer, relation d'aide et fragilité",l’aide aux soignants
supporting caregivers,"et vous, comment allez-vous ?",- qualité ou quantité de vie?
quality or quantity of life?,qualité ou quantité de vie ?,scurvénie infantile : deux cas
infantile scurvy: two cases,scorbut chez l'enfant : deux cas,type i interféronopathies
type i interferonopathies,interféronopathies de type i,4/5 melanie klein
4/5 melanie klein,4/5 melanie klein,d’un guerrier nommé gaspard
a warrior named gaspard,un guerrier nommé gaspard,l'avantage de l'auto-évaluation dans le domaine de la réadaptation
the benefit of self-assessment in rehabilitation,intérêt de l'auto-évaluation en réhabilitation,Soutien infirmier dans un appartement d'une association de logement
nursing support in a housing association apartment,accompagnement infirmier en appartement associatif,rétablissement
recovery,au sujet du rétablissement,"soins psychiatrie, référence depuis 35 ans"
"soins psychiatrie, a reference for 35 years","soins psychiatrie, une référence depuis 35 ans",Analyse pratique des risques
practical risk analysis,analyse des risques a priori en pratique,l’accroissement de la mortalité à l’aide de l’aide à la santé
ischemic stroke in the young adult,infarctus cérébral du sujet jeune, l'aide de pseudo-vêtements diagnostiqués chez une femme de 58 ans
pseudo-coats diagnosed in 58-year-old woman,pseudo-coats diagnostiqué chez une femme de 58ans,partenaires de citoyens pour la santé mentale
citizen partners for mental health,citoyens partenaires pour la santé mentale,l'anémie et les maladies chroniques
anaemia and chronic diseases,anémie et maladies chroniques,Insuffisance cardiaque et comorbidités
heart failure and comorbidities,insuffisance cardiaque et pathologies associées," l'aide d'un échantillon de l'échantillon, il y a eu eu eu eu eu eu eu"
presumed ocular histoplasmosis syndrome,syndrome d'histoplasmose oculaire présumé,radiomique : définition et développement clinique
radiomics: definition and clinical development,définition et applications cliniques des radiomics,l’expérience des comités de rétroaction (crex) et au-delà...
experience feedback committees (crex) and beyond…,les crex et après…,l’état de santé de la schizophrénie
the quality of life in schizophrenia,la qualité de vie en schizophrénie,atypical presentation of orbital sarcoidosis
atypical presentation of orbital sarcoidosis,présentation atypique d'une sarcoïdose orbitaire,l’hypertension et la léparose n’est pas une maladie du passé.
leprosy is definitely not a disease of the past,la lèpre n'est pas une maladie du passé,hiv-1 entraîne la migration des macrophages
hiv-1 drives the migration of macrophages,le vih-1 pilote la migration des macrophages,anti-platelet médicaments : que de neuf?
antiplatelet drugs: what's new?,les antiplaquettaires : quoi de neuf ?,l’adoption d’un mécanisme de gestion actuel du carcinome hépatocellulaire
current management of hepatocellular carcinoma,prise en charge du carcinome hépatocellulaire,et l’infection à l’infection à VIH/sida
