en_tokenized,fr_tokenized
"['in', 'process', 'citation']","['ivg', ',', ""l'écoute"", 'du', 'psychologue']"
"['abortion', ':', 'an', 'ethical', 'or', 'political', 'issue', '?']","[""l'avortement"", ':', 'question', 'éthique', 'ou', 'politique', '?']"
"['in', 'process', 'citation']","[""l'ivg"", ',', '40', 'ans', 'après', 'la', 'loi', 'veil']"
"['choking', 'games', 'among', '2nd', 'and', '3rd', 'graders']","['jeux', ""d'asphyxie"", 'chez', 'les', 'élèves', 'de', 'ce1', 'et', 'ce2']"
"['nurse', 'to', 'know', ':', 'amenudzie', 'yayra']","['la', 'génomique', ':', 'le', 'pouvoir', 'et', 'la', 'promesse']"
"['in', 'process', 'citation']",['éditorial']
"['increase', 'in', 'premiums', ',', 'a', 'fascinating', 'impasse']","['augmentation', 'des', 'primes', ',', 'une', 'fascinante', 'impasse']"
"['eat', 'spicy', 'and', 'you', 'will', 'live', 'long']","['mangez', 'épicé', 'et', 'vous', 'vivrez', 'longtemps', '!']"
"['&', 'quot', ';', 'borderline', 'state', '&', 'quot', ';']","['&', 'quot', ';', 'etat', 'limite', 'inférieur', '&', 'quot', ';']"
"['hiv', 'sleeping', ',', 'sleeping']","['vih', 'qui', 'dort', ',', 'qui', 'dort']"
"['acute', 'pericarditis']","['la', 'péricardite', 'aiguë']"
"['lyme', 'serology', ':', 'what', ""'s"", 'the', 'deal', '?']","['quelle', 'est', ""l'utilité"", 'de', 'la', 'sérologie', 'de', 'lyme', '?']"
"['about', 'juvenile', 'nasopharyngeal', 'angiofibroma']","['a', 'propos', 'de', ""l'angiofibrome"", 'nasopharyngien', 'juvénile']"
"['euthanasia', 'and', 'assisted', 'suicide']","['euthanasie', 'et', 'suicide', 'assisté']"
"['selected', 'ethical', 'issues', 'in', 'oncogenetics']","['questions', 'éthiques', 'choisies', 'en', 'oncogénétique']"
"['the', 'right', 'to', 'a', 'chromosomally', 'perfect', 'child']","['le', 'droit', 'à', 'un', 'enfant', 'chromosomiquement', 'parfait']"
"['surrogacy', ':', 'towards', 'legalization', '?']","['la', 'gpa', ':', 'vers', 'la', 'légalisation', '?']"
"['postmortem', 'paternity']","['la', 'paternité', 'post', 'mortem']"
"['the', 'desired', 'access', 'to', 'the', 'origins', ':', 'which', 'access', '?']","[""l'accès"", 'désiré', 'aux', 'origines', ':', 'quelaccès', '?']"
"['summing', 'up']","['rapport', 'de', 'synthèse']"
"['the', 'french', 'bioethics', 'laws', 'are', '20', 'years', 'old', '!']","['les', 'lois', 'françaises', 'de', 'bioéthique', 'ont', '20', 'ans', '!']"
['foreword'],['avant-propos']
"['ultrasound-guided', 'peripheral', 'venous', 'access']","['abords', 'veineux', 'périphériques', 'échoguidés']"
"['lycanthropy', 'and', 'medicine']","['la', 'lycanthropie', 'dans', 'la', 'médecine']"
"['in', 'process', 'citation']","['ektodermale', 'dysplasie']"
['epilogue'],['épilogue']
"['thank', 'you', ',', 'haiti']","['mesi', 'ampil', ',', 'ayiti']"
"['becoming', 'a', 'psychiatrist', 'in', '2015']","['devenir', 'psychiatre', 'en', '2015']"
"['drug', 'hypersensitivity']","['hypersensibilité', 'aux', 'médicaments']"
"['vaccination', 'against', 'heppatitis', 'b', ':', 'what', ""'s"", 'up', '?']","['vaccination', 'contre', ""l'hépatite"", 'b', ':', 'où', 'en', 'est-on', '?']"
"['smoking', 'cessation', 'in', 'pregnancy']","['sevrage', 'tabagique', 'chez', 'la', 'femme', 'enceinte']"
"['what', ""'s"", 'new', 'in', '...', 'hematology']","['la', 'révolution', 'des', 'traitements', 'ciblés']"
"['kidney', 'failure']","['&', 'quot', ';', 'dialyse', 'et', 'travail', ',', 'une', 'galère', '?', '&', 'quot', ';']"
"['good', ""'s"", 'syndrome']","['syndrome', 'de', 'good']"
"['health', 'to', 'the', 'help', 'of', 'negotiations', 'on', 'climate']","['la', 'santé', 'au', 'secours', 'des', 'négociations', 'sur', 'le', 'climat']"
"['a', 'new', 'revue', 'du', 'praticien']","['une', 'nouvelle', 'revue', 'du', 'praticien']"
"['volkswagen', ',', 'study', '329', ',', 'the', 'same']","['volkswagen', ',', '&', 'quot', ';', 'étude', '329', '&', 'quot', ';', ',', 'mêmes', 'faux-nez']"
"['concomitant', 'anosmia', 'and', 'ageusia', ':', 'a', 'case', 'report']","['anosmie', 'et', 'agueusie', ':', 'è', 'propos', ""d'un"", 'cas']"
"['atopic', 'dermatitis', 'of', 'the', 'adult']","['dermatite', 'atopique', 'de', ""l'adulte""]"
"['in', 'process', 'citation']","['journées', 'dermatologiques', 'de', 'paris', '2015']"
"['subconjunctival', 'migration', 'of', 'a', 'loa', 'loa', 'parasite']","['migration', 'sous-conjonctivale', ""d'une"", 'loase']"
"['suicide', 'headache']","['la', 'céphalée', 'suicidaire']"
"['genital', 'lichen', 'sclerosus', 'in', 'boys']","['lichen', 'scléreux', 'génital', 'chez', 'le', 'garçon']"
"['book', 'review']",['ouvrages']
"['septic', 'shock', 'and', 'tissierella', 'praeacuta']","['choc', 'septique', 'et', 'tissierella', 'praeacuta']"
"['information', 'on', 'drugs']","[""l'information"", 'sur', 'le', 'médicament']"
"['information', 'about', 'drugs']","[""l'information"", 'sur', 'le', 'médicament']"
"['information', ',', 'a', 'fundamental', 'patient', 'right', '?']","[""l'information"", ',', 'droit', 'fondamental', 'du', 'patient', '?']"
"['is', 'patient', 'information', 'an', 'illusion', '?']","[""l'information"", 'du', 'patient', 'est-elle', 'un', 'leurre', '?']"
"['a', 'manner', 'of', 'voicing', ',', 'the', 'mass', 'hysteria']","['une', 'manière', 'de', ""s'exprimer"", ',', ""l'hystérie"", 'collective']"
"['sleep', 'duration', 'and', 'metabolism']","['durée', 'de', 'sommeil', 'et', 'métabolisme']"
"['thyroid', 'and', 'the', 'environment']","['thyroïde', 'et', 'environnement']"
"['allergic', 'fungal', 'rhinosinusitis']","['rhinosinusite', 'fongique', 'allergique', '(', 'rsf', ')']"
"['cutaneous', 'larva', 'migrans', 'in', 'mauritania']","['larva', 'migrans', 'cutanée', 'en', 'mauritanie']"
"['a', 'para-aortic', 'opacity']","['une', 'opacité', 'para-aortique']"
"['leiomyosarcoma', 'of', 'the', 'tongue', ':', 'about', 'a', 'case']","['leiomyosarcome', 'de', 'la', 'langue', ':', 'à', 'propos', ""d'un"", 'cas']"
"['inguinal', 'hernia', 'of', 'the', 'bladder', ':', 'about', '8', 'cases']","['hernie', 'inguinale', 'de', 'la', 'vessie', ':', 'à', 'propos', 'de', '8', 'cas']"
"['posterior', 'pole', 'arterial', 'vascular', 'variant']","['variante', 'vasculaire', 'artérielle', 'au', 'pôle', 'postérieur']"
"['tinu', 'syndrome', ':', 'a', 'case', 'report']","['syndrome', 'tinu', ':', 'à', 'propos', ""d'un"", 'cas']"
"['transoral', 'coronoidectomy', ':', 'technical', 'note']","['coronoïdectomie', 'intra-orale', ':', 'note', 'technique']"
"['hepatic', 'encephalopathy']","['encéphalopathie', 'hépatique']"
"['double', 'cilioretinal', 'artery']","['artère', 'ciliorétinienne', 'double']"
"['vascular', 'factors', 'in', 'glaucoma']","['facteurs', 'vasculaires', 'du', 'glaucome']"
"['diabetes', 'and', 'reticular', 'macular', 'dystrophy']","['diabète', 'et', 'dystrophie', 'maculaire', 'réticulée']"
"['factitious', 'diseases', 'in', 'oncology']","['les', 'pathologies', 'factices', 'en', 'oncologie']"
"['henry', 'hamard', '(', '1933-2015', ')']",['hommage']
"['participate', 'in', 'the', 'group', '?', '...', 'but', 'why', '?']","['participer', 'au', 'groupe', '?', '.', '.', '.', 'mais', 'pourquoi', 'faire', '?']"
"['promoting', 'a', 'complementary', 'approach']","['promouvoir', 'une', 'approche', 'de', 'complémentarité']"
"['the', 'luck', 'of', 'being', 'a', 'woman']","['la', 'chance', ""d'etre"", 'femme']"
"['documenting', 'lifelong', 'learning', 'online']","['lebenslanges', 'lernen', 'online', 'dokumentieren']"
"['&', 'quot', ';', 'doing', 'what', 'one', 'does', 'best', '&', 'quot', ';']","['&', 'quot', ';', 'das', 'tun', ',', 'was', 'man', 'am', 'besten', 'kann', '&', 'quot', ';']"
"['the', 'woman', 'at', 'the', 'source', 'of', 'the', 'initiative']","['die', 'frau', 'am', 'ursprung', 'der', 'initiative']"
"['&', 'quot', ';', 'also', 'highlight', 'the', 'economic', 'benefits', '&', 'quot', ';']","['&', 'quot', ';', 'auch', 'den', 'ökonomischen', 'nutzen', 'aufzeigen', '&', 'quot', ';']"
"['doubt', 'is', 'useful', '!']","['le', 'doute', 'nous', 'est', 'utile', '!']"
"['contraception', 'and', 'abortion', ':', 'an', 'update', 'in', '2015']","['contraception', 'et', 'interruption', 'de', 'grossesse']"
"['women', ',', 'forgotten', 'by', 'clinical', 'research']","['les', 'femmes', ',', 'oubliées', 'de', 'la', 'recherche', 'clinique']"
"['women', 'and', 'women', ""'s"", 'health']","['des', 'femmes', 'et', 'de', 'la', 'santé']"
"['anti-aging', 'medicine', ':', 'science', 'or', 'marketing', '?']","['médecine', 'anti-âge', ':', 'science', 'ou', 'marketing', '?']"
"['the', 'diagnosis', 'of', 'food', 'allergies']","['la', 'mise', 'au', 'point', 'des', 'allergies', 'alimentaires']"
"['cutaneous', 'vascular', 'anomalies', 'in', 'children']","['les', 'anomalies', 'vasculaires', 'cutanées', 'chez', ""l'enfant""]"
"['therapeutic', 'algorithm', 'for', 'low', 'back', 'pain']","['algorithme', 'thérapeutique', 'de', 'la', 'lombalgie']"
"['are', 'orthopedic', 'inner', 'soles', 'useful', 'or', 'not']","['utilité', 'des', 'semelles', 'orthopédiques']"
"['intra-articular', 'injections']","['les', 'injections', 'intra-articulaires']"
"['skin', 'sampling', 'for', 'the', 'general', 'practitioner']","['prélèvements', 'cutanés', 'en', 'médecine', 'générale']"
"['preventing', 'cervical', 'cancer']","['la', 'prévention', 'du', 'cancer', 'du', 'col', 'utérin']"
"['melanoma', 'secondary', 'prevention']","['dépistage', 'du', 'mélanome']"
"['systematic', 'follow-up', 'of', 'infants', 'born', 'preterm']","['le', 'suivi', 'systématique', 'des', 'grands', 'prématurés']"
"['editorial', 'from', 'the', 'editor-in-chief']","[""l'editorial"", 'du', 'redacteur', 'en', 'chef']"
"['editorial', 'from', 'a.m.u.b', '.', ""'s"", 'president']","[""l'editorial"", 'du', 'president', 'de', 'l', ""'"", 'a.m.u.b']"
"['renal', 'transplantation', 'from', 'abo', 'incompatible', 'donors']","['transplantation', 'rénale', 'abo', 'incompatible']"
"['infertility', 'and', 'kidney', 'transplantation']","['infertilité', 'et', 'greffe', 'rénale']"
"['great', 'moments', 'in', 'renal', 'transplantation']","['grands', 'moments', 'de', 'la', 'transplantation', 'rénale']"
"['in', 'process', 'citation']","['&', 'quot', ';', 'somaticien', '&', 'quot', ';', ',', 'un', 'terme', 'inadéquat']"
['advocacy'],['advocacy']
"['arson', 'and', 'pyromania', ',', 'update', '2015']","['incendiaires', 'et', 'pyromanes']"
"['bipolar', 'disorders', 'and', 'self-stigma']","['troubles', 'bipolaires', 'et', 'autostigmatisation']"
"['what', 'trends', 'in', 'psychiatry', '?']","['où', 'va', 'la', 'psychiatrie', '?']"
"['interim', 'prosthesis', 'complication']","['complication', 'de', 'prothèse', 'intermédiaire']"
"['neonatal', 'unilateral', 'paralysis', 'of', 'the', 'radial', 'nerve']","['paralysie', 'néonatal', 'unilatérale', 'du', 'nerf', 'radial']"
"['pancreatic', 'hydatid', 'cyst', ':', 'a', 'case', 'about']","['kyste', 'hydatique', 'pancréatique', ':', 'à', 'propos', ""d'un"", 'cas']"
"['hydatid', 'cyst', 'of', 'the', 'adrenal', ':', 'about', 'a', 'case']","['kyste', 'hydatique', 'de', 'la', 'surrénale', ':', 'à', 'propos', ""d'un"", 'cas']"
"['glanzmann', 'thrombasthenia', ':', 'about', '11', 'cases']","['thrombasthénie', 'de', 'glanzmann', ':', 'à', 'propos', 'de', '11', 'cas']"
"['a', 'colonic', 'mucosae', 'with', 'brushing', 'border']","['la', 'bordure', 'en', 'brosse', ""d'une"", 'muqueuse', 'colique']"
"['a', 'rare', 'tumor', 'of', 'the', 'ampulla', 'of', 'vater']","['une', 'tumeur', 'rare', 'de', ""l'ampoule"", 'de', 'vater']"
"['a', 'testis', 'with', 'a', 'misleading', 'clinical', 'aspect']","['un', 'testicule', 'à', 'la', 'clinique', 'trompeuse']"
"['sciatic', 'nerve', 'intraneural', 'perineurioma']","['périneuriome', 'intraneural', 'du', 'nerf', 'sciatique']"
"['comorbidities', 'of', 'copd']","['les', 'comorbidités', 'dans', 'la', 'bpco']"
"['giant', 'cell', 'arteritis', 'and', 'unexplained', 'hypoxemia']","['artérite', 'à', 'cellules', 'géantes', 'et', 'hypoxie', 'inexpliquée']"
"['congenital', 'radio-ulnar', 'synostosis']","['synostose', 'radio-ulnaire']"
"['cluster', 'headache', 'and', 'brain', 'imagery']","['algie', 'vasculaire', 'de', 'la', 'face', ':', 'place', 'de', ""l'imagerie""]"
"['ageing', ':', 'a', 'matter', 'of', 'heart', '?']","['vieillissement', '-', 'une', 'question', 'de', 'cœur', '?']"
"['neuroinflammation', ':', 'dr', 'jekyll', 'or', 'mr', 'hyde', '?']","['la', 'neuro-inflammation', '-', 'dr', 'jekyll', 'ou', 'mr', 'hyde', '?']"
"['lung', 'resistome']","['le', 'résistome', 'pulmonaire']"
"['the', 'emerging', 'concept', 'of', 'lung', 'mycobiome']","['un', 'nouveau', 'concept', '-', 'le', 'mycobiome', 'pulmonaire']"
"['the', 'disease', 'and', 'the', 'humanities']","['la', 'maladie', 'et', 'les', 'humanités']"
"['autoimmune', 'hemolytic', 'anemia', 'in', 'children']","['anémie', 'hémolytique', 'auto-immune', 'de', ""l'enfant""]"
"['in', 'process', 'citation']","['8/20', 'les', 'désordres', 'hydro-électrolytiques']"
"['the', 'locations', 'of', 'mobile', 'geriatric', 'teams', 'in', 'france']","['les', 'équipes', 'mobiles', 'de', 'gériatrie', 'en', 'france']"
"['in', 'process', 'citation']","['une', 'riche', 'expérience']"
"['singing', 'as', 'an', 'aid', 'in', 'neonatology']","['le', 'chant', ',', 'un', 'support', 'de', 'soins', 'en', 'néonatologie']"
"['&', 'quot', ';', 'i', 'became', 'a', 'mother', 'in', 'prison.', '&', 'quot', ';']","['«', 'je', 'suis', 'devenue', 'mère', 'en', 'prison', '»']"
"['motherhood', 'behind', 'bars']","['la', 'maternité', 'détenue']"
"['the', 'right', 'to', 'be', 'a', 'mother', 'in', 'prison']","['le', 'droit', ""d'être"", 'mère', 'en', 'prison']"
"['woman', 'and', 'mother', 'in', 'prison', ',', 'a', 'difficult', 'reality']","['femme', 'et', 'mère', 'en', 'prison', ',', 'une', 'réalité', 'difficile']"
"['in', 'process', 'citation']","['naître', 'et', 'grandir', 'dans', ""l'univers"", 'carcéral']"
"['in', 'process', 'citation']","['nutrition', ',', 'communiquons', 'autrement', '!']"
"['ingenol', 'mebutate', '(', 'picato', ')', ',', 'dermal', 'administration']","['mêbutate', ""d'ingênol"", '(', 'picato', ')', ',', 'voie', 'dermique']"
"['sofosbuvir', '(', 'sovaldi', ')', ',', 'oral', 'administration']","['sofosbuvir', '(', 'sovaldi', ')', ',', 'voie', 'orale']"
"['simeprevir', '(', 'olysio', ')', ',', 'oral', 'administration']","['simêprêvir', '(', 'olysio', ')', ',', 'administration', 'orale']"
"['concept', 'analysis']","[""l'analyse"", 'de', 'concept']"
"['in', 'process', 'citation']","['pour', 'la', 'diffusion', 'des', 'soins', 'palliatifs', 'à', 'domicile']"
"['end', 'of', 'life', ',', 'promoting', 'the', 'collegial', 'procedure']","['fin', 'de', 'vie', ',', 'promouvoir', 'la', 'procédure', 'collégiale']"
"['in', 'process', 'citation']","['un', 'accompagnement', 'pluriprofessionnel']"
"['in', 'process', 'citation']","['pour', 'une', 'véritable', 'attention', 'à', 'la', 'douleur']"
"['the', 'relationship', ',', 'a', 'key', 'ingredient', 'of', 'care']","['la', 'relation', ',', 'un', 'ingrédient', 'incontournable', 'du', 'soin']"
"['the', 'other', ',', 'the', 'object', 'and', 'the', 'social', 'connection']","[""l'autre"", ',', ""l'objet"", 'et', 'le', 'lien', 'social']"
"['jean', 'oury', ',', '&', 'quot', ';', 'i', 'am', 'a', 'poumista', '&', 'quot', ';']","['jean', 'oury', ',', '«', 'je', 'suis', 'poumiste', '»']"
"['an', 'insane', 'dialogue']","['un', 'dialogue', 'de', 'fous']"
"['work', 'in', 'psychiatry', ':', 'a', 'political', 'question']","['du', 'travail', 'en', 'psychiatrie', ':', 'une', 'question', 'politique']"
"['(', 'community', ')', 'psychiatry', ',', 'a', 'parenthesis', '?']","['la', 'psychiatrie', '(', 'de', 'secteur', ')', ',', 'une', 'parenthèse', '?']"
"['in', 'process', 'citation']","['la', 'démocratie', 'sanitaire', ',', 'une', 'utopie', '?']"
"['in', 'process', 'citation']","['la', 'clinique', 'au', 'cœur', 'de', 'la', 'violence', 'hospitalière']"
"['nothing', 'to', 'disclose', '?']","['rien', 'à', 'déclarer', '?']"
"['choroidal', 'osteoma']","['ostéome', 'choroïdien']"
"['post-traumatic', 'endophthalmitis']","['les', 'endophtalmies', 'post-traumatiques']"
"['vaccine', 'news']",['info-vaccins']
"['&', 'quot', ';', 'les', 'impatients', '&', 'quot', ';', ':', 'expression', 'through', 'art']","['les', 'impatients', ':', 'un', 'parfum', 'de', 'santé']"
"['sleep', 'medicine', ':', '1965', 'to', '2015']","['la', 'médecine', 'du', 'sommeil', ':', '1965-2015']"
"['psychiatry', 'in', 'quebec', '.', 'then', 'and', 'now']","['la', 'psychiatrie', 'au', 'québec', ':', 'autrefois/maintenant']"
['editorial'],['éditorial']
"['atypical', 'onset', 'corticobasal', 'degeneration']","['dégénérescence', 'corticobasale', 'à', 'début', 'atypique']"
"['neonatal', 'mucolipidosis', 'type', 'ii']","['révélation', 'néonatale', ""d'une"", 'mucolipidose', 'de', 'type', 'ii']"
"['malaria', 'situation', ',', '2015']","['commentaire', 'du', 'travail', 'de', 'min', 'bh', 'et', 'al.', ',', 'pp', '.', '784']"
"['cluster', 'headache', 'differential', 'diagnosis']","['diagnostic', 'différentiel', 'de', ""l'avf""]"
"['recurrent', 'fevers', 'in', 'childhood']","['les', 'fièvres', 'récurrentes', 'de', ""l'enfant""]"
"['subcutaneous', 'nodules', 'involving', 'the', 'forearms']","['des', 'nodules', 'sous-cutanés', 'des', 'avant-bras']"
"['male', 'median', 'raphe']","['le', 'raphé', 'médian', 'chez', ""l'homme""]"
"['lentigo', 'maligna']","['mélanome', 'lentigineux']"
"['in', 'process', 'citation']","[""l'infirmière"", 'et', 'la', 'gestion', ""d'une"", 'plaie']"
"['my', 'hospi', 'friends', ',', 'a', 'social', 'network', 'for', 'patients']","['my', 'hospi', 'friends', ',', 'le', 'réseau', 'social', 'des', 'patients']"
"['depression', 'and', 'its', 'non-drug', 'treatments']","['la', 'dépression', 'et', 'ses', 'traitements', 'non', 'médicamenteux']"
"['cluster', 'headache', 'treatment']","['traitements', 'de', ""l'algie"", 'vasculaire', 'de', 'la', 'face']"
"['air', 'pollution']","['cœur', 'et', 'pollution', 'particulaire']"
"['in', 'process', 'citation']",['clinique']
"['in', 'process', 'citation']",['préclinique']
"['in', 'process', 'citation']",['génétique']
"['gne', 'myopathy']","['myopathie', 'gne']"
"['exceptional', 'view', 'of', 'a', 'new', 'website…']","['vue', 'exceptionnelle', ""d'un"", 'nouveau', 'site…']"
"['persistent', 'tunica', 'vasculosa', 'lentis']","['persistance', 'de', 'la', 'tunica', 'vasculosa', 'lentis']"
"['in', 'process', 'citation']","['resection', 'de', 'prostate', 'monopolaire', 'en', 'ambulatoire']"
"['in', 'process', 'citation']","['sexualité', 'de', ""l'homme"", 'âgé', 'en', 'milieu', 'africain']"
"['in', 'process', 'citation']","['contusion', 'sur', 'rein', 'pathologique']"
"['in', 'process', 'citation']","['longueurs', ""d'uretères"", ':', 'sommes-nous', 'tous', 'égaux', '?']"
"['medications', 'and', 'esophageal', 'injuries']","['medicaments', 'et', 'lésions', 'à', ""l'oesophage""]"
"['pregnancies', 'in', 'quebec']","['les', 'grossesses', 'au', 'québec']"
"['frontotemporal', 'dementia']","['démence', 'frontotemporale']"
"['acute', 'myocardial', 'infarction', '?', 'a', 'one', 'hour', 'test']","['infarctus', 'aigu', 'du', 'myocarde', '?', 'un', 'test', ""d'une"", 'heure']"
"['yoga', ':', 'the', 'heart', ""'s"", 'friend']","['le', 'yoga', ':', ""l'ami"", 'du', 'coeur']"
"['environmental', 'health', ':', 'a', 'response']","['la', 'santé', 'environnementale', ':', 'une', 'réponse']"
"['weobservatory', ':', 'in', 'the', 'service', 'of', 'women', ""'s"", 'health']","['weobservatory', ':', 'au', 'service', 'de', 'la', 'santé', 'des', 'femmes']"
"['laurentides/lanaudière', ':', 'the', 'blue', 'bracelet']","['laurentides/lanaudière', ':', 'le', 'bracelet', 'bleu']"
"['campaign', 'to', 'act', ':', '&', 'quot', ';', 'avc', 'vite', '&', 'quot', ';']","['campagne', 'pour', 'agir', ':', '&', 'quot', ';', 'avc', 'vite', '&', 'quot', ';']"
"['joint', 'statement', ':', 'working', 'together']","['déclaration', 'conjointe', ':', 'travailler', 'ensemble']"
"['the', 'place', 'of', 'pediatricians', 'in', 'newborn', 'screening']","['place', 'du', 'pédiatre', 'dans', 'le', 'dépistage', 'néonatal']"
"['breast', 'pain', ':', 'recommendations']","['syndrome', 'douloureux', 'mammaire', ':', 'recommandations']"
"['the', 'promovac', 'study']","[""l'etude"", 'promovac']"
"['forum', 'on', 'the', 'emergence', 'of', 'tomorrow', ""'s"", 'leaders']","['forum', 'relève', ':', 'les', 'leaders', 'de', 'demain']"
"['africa', ':', 'security', 'after', 'ebola']","['afrique', ':', 'sécurité', 'après', 'ebola']"
"['belgium', ':', 'patient', 'empowerment']","['belgique', ':', 'empowerment', 'des', 'patients']"
"['prevention', ':', 'the', 'nursing', 'role']","['prévention', ':', 'le', 'rôle', 'infirmier']"
"['alcohol', 'abuse', 'by', 'seniors']","['consommation', 'excessive', ""d'alcool"", 'par', 'les', 'aînés']"
"['montérégie', ':', 'assessing', 'the', 'risk', 'of', 'suicide']","['montérégie', ':', 'évaluer', 'le', 'risque', 'de', 'suicide']"
"['a', 'network', 'under', 'the', 'sign', 'of', 'change']","['un', 'réseau', 'sous', 'le', 'signe', 'du', 'changement']"
"['lyne', 'cloutier']","['lyne', 'cloutier']"
"['sleep', '.', '.', '.', 'that', 'stranger']","['le', 'sommeil', ',', 'cet', 'inconnu']"
"['the', 'patient', 'of', 'bed', 'no', '.', '3']","['la', 'patiente', 'du', 'box', '3']"
"['no', 'reflow', ':', 'what', 'are', 'the', 'predictors', '?']","['no', 'reflow', ':', 'quels', 'facteurs', 'prédictifs', '?']"
"['management', 'of', 'shoulder', 'dystocia']","['conduite', 'à', 'tenir', 'en', 'cas', 'de', 'dystocie', 'des', 'épaules']"
"['pharmaceutical', 'heritage']","['le', 'patrimoine', 'pharmaceutique']"
"['rise', 'and', 'fall', 'of', 'lactarium', 'linas']","['grandeur', 'et', 'décadence', 'du', 'lactarium', 'linas']"
"['contraception', 'and', 'obesity']","['contraception', 'et', 'obésité']"
"['epidemiology', 'of', 'shoulder', 'dystocia']","['épidémiologie', 'de', 'la', 'dystocie', 'des', 'épaules']"
"['statins', 'use', 'in', 'elderly', 'patients']","['place', 'des', 'statines', 'chez', 'le', 'sujet', 'âgé']"
"['west', 'syndrome', ':', 'about', 'an', 'observation']","['syndrome', 'de', 'west', ':', 'à', 'propos', ""d'une"", 'observation']"
"['fournier', 'gangrene', 'complicating', 'impalement']","['la', 'gangrène', 'de', 'fournier', 'compliquant', 'un', 'empalement']"
"['abdominal', 'textiloma', ',', 'about', 'a', 'case']","['textilome', 'abdominal', ',', 'à', 'propos', ""d'un"", 'cas']"
"['angiobehçet', ':', 'between', 'the', 'hammer', 'and', 'the', 'anvil', '!']","['un', 'angiobehçet', ':', 'entre', 'le', 'marteau', 'et', ""l'enclume"", '!']"
"['conclusion', 'and', 'perspectives']","['conclusion', 'et', 'perspectives']"
"['the', 'issue', 'of', 'prostate', 'cancer', 'surgery']","[""l'enjeu"", 'de', 'la', 'chirurgie', 'du', 'cancer', 'de', 'la', 'prostate']"
"['atypical', 'form', 'of', 'lyme', 'disease']","['forme', 'atypique', ""d'une"", 'maladie', 'de', 'lyme']"
"['malignant', 'historical', 'schwannoma', 'of', 'the', 'forearm']","['schwannome', 'malin', 'historique', 'de', ""l'avant"", 'bras']"
"['fibromyxoid', 'sarcoma', 'of', 'unusual', 'location']","['sarcome', 'fibromyxoïde', 'de', 'localisation', 'inhabituelle']"
"['foreign', 'bodies', 'in', 'ent', ':', 'ten-year', 'experience']","['les', 'corps', 'étrangers', 'en', 'orl', ':', 'expérience', 'de', 'dix', 'ans']"
"['cryptococcosis', 'during', 'hiv', 'infection']","['la', 'cryptococcose', 'au', 'cours', 'de', ""l'infection"", 'à', 'vih']"
"['abnormal', 'kidneys']","['des', 'reins', 'anormaux']"
"['ovocyte', 'vitrification', ':', 'a', 'tool', 'for', 'the', 'future']","['la', 'vitrification', 'ovocytaire', ':', 'un', 'outil', ""d'avenir""]"
"['pathophysiology', 'of', 'human', 'mitochondrial', 'diseases']","['physiopathologie', 'des', 'maladies', 'mitochondriales']"
"['teriflunomide', '(', 'aubagio', ')', ',', 'oral', 'administration']","['tériflunomide', '(', 'aubagio', ')', ',', 'administration', 'orale']"
"['dolutegravir', '(', 'tivicay', ')', 'orally']","['dolutégravir', '(', 'tivicay', ')', ',', 'voie', 'orale']"
"['understanding', 'nursing', 'care', 'in', 'hospitals']","['comprendre', 'le', 'travail', 'de', 'soins', 'à', ""l'hôpital""]"
"['innovate', ',', 'invent', ',', 'discover', '...', 'research']","['innover', ',', 'inventer', ',', 'découvrir', '...', 'chercher']"
"['coordination', 'of', 'hospital', 'surveillance']","['la', 'coordination', 'des', 'vigilances', 'à', ""l'hôpital""]"
"['the', 'usefulness', 'of', 'the', 'useless']","[""l'utilité"", 'de', ""l'inutile""]"
"['tarmed', ':', 'an', 'increasingly', 'confrontational', 'reform']","['tarmed', ':', 'une', 'réforme', 'toujours', 'plus', 'conflictuelle']"
"['noninvasive', 'screening', 'for', 'trisomy', '21']","['le', 'dépistage', 'non', 'invasif', 'de', 'la', 'trisomie', '21']"
"['disease', 'management', ',', 'an', 'old', 'fashion', 'idea', '?']","['disease', 'management', ',', 'idée', ""d'autrefois"", '?']"
"['achalasia', ':', 'which', 'treatment', 'to', 'choose', 'in', '2015', '?']","['achalasie', ':', 'queulle', 'thérapie', 'choisir', 'en', '2015', '?']"
"['whipple', ""'s"", 'disease', ',', 'when', 'to', 'think', 'about', 'it', '?']","['maladie', 'de', 'whipple', ':', 'quand', 'y', 'penser', '?']"
"['mus', 'musculus', 'sapiens']","['mus', 'musculus', 'sapiens']"
"['in', 'process', 'citation']",['conclusion']
"['aggressive', 'fibromatosis', 'of', 'the', 'neck']","['fibromatose', 'agressive', 'du', 'cou']"
"['high', 'pressure', 'trap']","['piège', 'à', 'haute', 'tension']"
"['raspail', ',', 'don', 'quixote', 'of', 'camphor', '!']","['raspail', ',', 'don', 'quichotte', 'du', 'camphre', '!']"
"['pseudotumoral', 'malakoplakia', 'of', 'the', 'breast']","['malakoplakie', 'pseudotumorale', 'du', 'sein']"
"['osteogenesis', 'imperfecta', ':', 'report', 'of', 'a', 'case']","[""l'ostéogenèse"", 'imparfaite', ':', 'à', 'propos', ""d'un"", 'cas']"
"['eye', 'redness', ':', 'think', 'of', 'rosacea']","['rougeur', 'oculaire', ':', 'penser', 'à', 'la', 'rosacée']"
"['a', 'small', 'induced', 'vascular', 'malformation']","['une', 'petite', 'malformation', 'vasculaire', 'provoquée']"
