en,fr,predicted
pancreatic hydatid cyst: a case about,kyste hydatique pancréatique: à propos d'un cas,kyste hydatide pancréatique: un cas sur
hydatid cyst of the adrenal: about a case,kyste hydatique de la surrénale: à propos d'un cas,kyste hydatide de l'adrénaline: à propos d'un cas
glanzmann thrombasthenia: about 11 cases,thrombasthénie de glanzmann: à propos de 11 cas,thrombasthénie glanzmann: environ 11 cas
a colonic mucosae with brushing border,la bordure en brosse d'une muqueuse colique,une muqueuse colonique avec bordure de brossage
a rare tumor of the ampulla of vater,une tumeur rare de l'ampoule de vater,une tumeur rare de l'ampulla de vater
a testis with a misleading clinical aspect,un testicule à la clinique trompeuse,un testicule présentant un aspect clinique trompeur;
sciatic nerve intraneural perineurioma,périneuriome intraneural du nerf sciatique,périnéuriome intraneural du nerf sciatique
comorbidities of copd,les comorbidités dans la bpco,les comorbidités de la copède;
giant cell arteritis and unexplained hypoxemia,artérite à cellules géantes et hypoxie inexpliquée,artérite de cellules géantes et hypoxémie inexpliquée
congenital radio-ulnar synostosis,synostose radio-ulnaire,synostose congénitale radio-ulnaire
cluster headache and brain imagery,algie vasculaire de la face : place de l'imagerie,maux de tête en grappe et imagerie cérébrale
ageing: a matter of heart?,vieillissement - une question de cœur ?,vieillissement: une question de cœur?
neuroinflammation: dr jekyll or mr hyde?,la neuro-inflammation - dr jekyll ou mr hyde ?,neuroinflammation: Dr Jekyll ou Mr hyde?
lung resistome,le résistome pulmonaire,Résistance pulmonaire
the emerging concept of lung mycobiome,un nouveau concept - le mycobiome pulmonaire,le concept émergent du mycobiome pulmonaire
the disease and the humanities,la maladie et les humanités,la maladie et les humanités
autoimmune hemolytic anemia in children,anémie hémolytique auto-immune de l'enfant,anémie hémolytique auto-immune chez les enfants
in process citation,8/20 les désordres hydro-électrolytiques,en cours de citation
the locations of mobile geriatric teams in france,les équipes mobiles de gériatrie en france,les emplacements des équipes gériatriques mobiles en france
in process citation,une riche expérience,en cours de citation
singing as an aid in neonatology,"le chant, un support de soins en néonatologie",chanter comme aide en néonatologie
&quot;i became a mother in prison.&quot;,« je suis devenue mère en prison »,&quot;i est devenu une mère en prison.&quot;
motherhood behind bars,la maternité détenue,maternité derrière les barreaux
the right to be a mother in prison,le droit d'être mère en prison,le droit d'être une mère en prison;
"woman and mother in prison, a difficult reality","femme et mère en prison, une réalité difficile","femme et mère en prison, une réalité difficile"
in process citation,naître et grandir dans l'univers carcéral,en cours de citation
in process citation,"nutrition, communiquons autrement !",en cours de citation
"ingenol mebutate (picato), dermal administration","mêbutate d'ingênol (picato), voie dermique","mébutate d'ingénol (picato), administration cutanée"
"sofosbuvir (sovaldi), oral administration","sofosbuvir (sovaldi), voie orale","sofosbuvir (sovaldi), administration orale"
"simeprevir (olysio), oral administration","simêprêvir (olysio), administration orale","siméprévir (olysio), administration orale"
concept analysis,l'analyse de concept,analyse de concept
in process citation,pour la diffusion des soins palliatifs à domicile,en cours de citation
"end of life, promoting the collegial procedure","fin de vie, promouvoir la procédure collégiale","fin de vie, promotion de la procédure collégiale"
in process citation,un accompagnement pluriprofessionnel,en cours de citation
in process citation,pour une véritable attention à la douleur,en cours de citation
"the relationship, a key ingredient of care","la relation, un ingrédient incontournable du soin","la relation, un ingrédient clé des soins"
"the other, the object and the social connection","l'autre, l'objet et le lien social","l'autre, l'objet et la connexion sociale"
"jean oury, &quot;i am a poumista&quot;","jean oury, « je suis poumiste »","jean oury, &quot;i am a poumista&quot;"
an insane dialogue,un dialogue de fous,un dialogue insensé
work in psychiatry: a political question,du travail en psychiatrie : une question politique,travail en psychiatrie: une question politique
"(community) psychiatry, a parenthesis?","la psychiatrie (de secteur), une parenthèse ?","La psychiatrie, une parenthèse ?"
in process citation,"la démocratie sanitaire, une utopie ?",en cours de citation
in process citation,la clinique au cœur de la violence hospitalière,en cours de citation
nothing to disclose?,rien à déclarer ?,Rien à divulguer ?
choroidal osteoma,ostéome choroïdien,ostéome choroïdal
post-traumatic endophthalmitis,les endophtalmies post-traumatiques,endophtalmite post-traumatique
vaccine news,info-vaccins,news vaccinales
&quot;les impatients&quot;: expression through art,les impatients : un parfum de santé,&quot;les impatients&quot;: expression par l'art
sleep medicine: 1965 to 2015,la médecine du sommeil : 1965-2015,médecine du sommeil: 1965 à 2015
psychiatry in quebec. then and now,la psychiatrie au québec : autrefois/maintenant,la psychiatrie au Québec. puis et maintenant
editorial,éditorial,éditorial
atypical onset corticobasal degeneration,dégénérescence corticobasale à début atypique,dégénérescence atypique de la corticobasale
neonatal mucolipidosis type ii,révélation néonatale d'une mucolipidose de type ii,mucolipidose néonatale de type ii
"malaria situation, 2015","commentaire du travail de min bh et al., pp. 784","la situation du paludisme, 2015"
cluster headache differential diagnosis,diagnostic différentiel de l'avf,diagnostic différentiel de céphalées en grappe
recurrent fevers in childhood,les fièvres récurrentes de l'enfant,fièvres récurrentes dans l'enfance
subcutaneous nodules involving the forearms,des nodules sous-cutanés des avant-bras,nodules sous-cutanés impliquant les avant-bras
male median raphe,le raphé médian chez l'homme,raphe médian mâle
lentigo maligna,mélanome lentigineux,Lentigo maligna
in process citation,l'infirmière et la gestion d'une plaie,en cours de citation
"my hospi friends, a social network for patients","my hospi friends, le réseau social des patients","mes amis hospi, un réseau social pour les patients"
depression and its non-drug treatments,la dépression et ses traitements non médicamenteux,la dépression et ses traitements non médicamenteux
cluster headache treatment,traitements de l'algie vasculaire de la face,traitement des céphalées en grappes
air pollution,cœur et pollution particulaire,pollution atmosphérique
in process citation,clinique,en cours de citation
in process citation,préclinique,en cours de citation
in process citation,génétique,en cours de citation
gne myopathy,myopathie gne,myopathie gné
exceptional view of a new website…,vue exceptionnelle d'un nouveau site…,vue exceptionnelle d'un nouveau site...
persistent tunica vasculosa lentis,persistance de la tunica vasculosa lentis,tunica vasculosa lentis persistante
in process citation,resection de prostate monopolaire en ambulatoire,en cours de citation
in process citation,sexualité de l'homme âgé en milieu africain,en cours de citation
in process citation,contusion sur rein pathologique,en cours de citation
in process citation,longueurs d'uretères : sommes-nous tous égaux ?,en cours de citation
medications and esophageal injuries,medicaments et lésions à l'oesophage,médicaments et lésions oesophagiennes
pregnancies in quebec,les grossesses au québec,grossesses en Québec
frontotemporal dementia,démence frontotemporale,démence frontotemporelle
acute myocardial infarction? a one hour test,infarctus aigu du myocarde? un test d'une heure,infarctus aigu du myocarde? un test d'une heure
yoga: the heart's friend,le yoga: l'ami du coeur,yoga : l'ami du cœur
environmental health: a response,la santé environnementale: une réponse,santé environnementale: une réponse
weobservatory: in the service of women's health,weobservatory: au service de la santé des femmes,weobservatory: au service de la santé des femmes
laurentides/lanaudière: the blue bracelet,laurentides/lanaudière: le bracelet bleu,laurentides/lanaudière : le bracelet bleu
campaign to act: &quot;avc vite&quot;,campagne pour agir: &quot;avc vite&quot;,campagne d'action: &quot;avc vite&quot;
joint statement: working together,déclaration conjointe: travailler ensemble,Déclaration commune: travailler ensemble
the place of pediatricians in newborn screening,place du pédiatre dans le dépistage néonatal,la place des pédiatres dans le dépistage des nouveau-nés
breast pain: recommendations,syndrome douloureux mammaire : recommandations,douleur mammaire: recommandations
the promovac study,l'etude promovac,l'étude de promovac
forum on the emergence of tomorrow's leaders,forum relève: les leaders de demain,forum sur l'émergence des dirigeants de demain
africa: security after ebola,afrique : sécurité après ebola,Afrique: sécurité après l'ébola
belgium: patient empowerment,belgique: empowerment des patients,belgium : autonomisation des patients
prevention: the nursing role,prévention: le rôle infirmier,prévention: le rôle de l'infirmière
alcohol abuse by seniors,consommation excessive d'alcool par les aînés,abus d'alcool par les personnes âgées
montérégie: assessing the risk of suicide,montérégie: évaluer le risque de suicide,Montérégie : évaluer le risque de suicide
a network under the sign of change,un réseau sous le signe du changement,un réseau sous le signe du changement
lyne cloutier,lyne cloutier,Lyne Cloutier
sleep . . . that stranger,"le sommeil, cet inconnu",Dormez . . . cet étranger
the patient of bed no. 3,la patiente du box 3,le patient du lit n° 3
no reflow: what are the predictors?,no reflow : quels facteurs prédictifs ?,Pas de reflow : quels sont les prédicteurs ?
management of shoulder dystocia,conduite à tenir en cas de dystocie des épaules,prise en charge de la dystocie des épaules
pharmaceutical heritage,le patrimoine pharmaceutique,patrimoine pharmaceutique
rise and fall of lactarium linas,grandeur et décadence du lactarium linas,hausse et baisse du lactarium linas
contraception and obesity,contraception et obésité,contraception et obésité
epidemiology of shoulder dystocia,épidémiologie de la dystocie des épaules,épidémiologie de la dystocie des épaules
statins use in elderly patients,place des statines chez le sujet âgé,statines utilisées chez les patients âgés
west syndrome: about an observation,syndrome de west: à propos d'une observation,syndrome de l'ouest : à propos d'une observation
fournier gangrene complicating impalement,la gangrène de fournier compliquant un empalement,Quatre gangrènes compliquant l'empalement
"abdominal textiloma, about a case","textilome abdominal, à propos d'un cas","textilome abdominal, à propos d'un cas"
angiobehçet: between the hammer and the anvil!,un angiobehçet: entre le marteau et l'enclume!,Angiobehçet: entre le marteau et l'enclume!
conclusion and perspectives,conclusion et perspectives,Conclusion et perspectives
the issue of prostate cancer surgery,l'enjeu de la chirurgie du cancer de la prostate,la question de la chirurgie du cancer de la prostate
atypical form of lyme disease,forme atypique d'une maladie de lyme,Forme atypique de la maladie de lyme
malignant historical schwannoma of the forearm,schwannome malin historique de l'avant bras,schwannoma historique malin de l'avant-bras
fibromyxoid sarcoma of unusual location,sarcome fibromyxoïde de localisation inhabituelle,sarcome fibromyxoïde d'un emplacement inhabituel
foreign bodies in ent: ten-year experience,les corps étrangers en orl: expérience de dix ans,les organismes étrangers: dix ans d'expérience
cryptococcosis during hiv infection,la cryptococcose au cours de l'infection à vih,cryptococcose pendant l'infection par le virus hiv
abnormal kidneys,des reins anormaux,reins anormaux
ovocyte vitrification: a tool for the future,la vitrification ovocytaire : un outil d'avenir,la vitrification des ovocytes: un outil pour l'avenir
pathophysiology of human mitochondrial diseases,physiopathologie des maladies mitochondriales,physiopathologie des maladies mitochondriales humaines
"teriflunomide (aubagio), oral administration","tériflunomide (aubagio), administration orale","tériflunomide (aubagio), administration orale"
dolutegravir (tivicay) orally,"dolutégravir (tivicay), voie orale",dolutégravir (tivicay) par voie orale
understanding nursing care in hospitals,comprendre le travail de soins à l'hôpital,la compréhension des soins infirmiers dans les hôpitaux
"innovate, invent, discover ... research","innover, inventer, découvrir ... chercher","innover, inventer, découvrir ... recherche"
coordination of hospital surveillance,la coordination des vigilances à l'hôpital,coordination de la surveillance hospitalière
the usefulness of the useless,l'utilité de l'inutile,l'utilité de l'inutile
tarmed: an increasingly confrontational reform,tarmed: une réforme toujours plus conflictuelle,Une réforme de plus en plus conflictuelle
noninvasive screening for trisomy 21,le dépistage non invasif de la trisomie 21,dépistage non invasif de la trisomie 21
"disease management, an old fashion idea?","disease management, idée d'autrefois?","La gestion des maladies, une vieille idée de mode ?"
achalasia: which treatment to choose in 2015?,achalasie: queulle thérapie choisir en 2015 ?,achalasia : quel traitement choisir en 2015 ?
"whipple's disease, when to think about it?",maladie de whipple: quand y penser?,"La maladie de Wipple, quand y penser ?"
mus musculus sapiens,mus musculus sapiens,musculus sapiens
in process citation,conclusion,en cours de citation
aggressive fibromatosis of the neck,fibromatose agressive du cou,fibromatose agressive du cou
high pressure trap,piège à haute tension,piège à haute pression
"raspail, don quixote of camphor!","raspail, don quichotte du camphre!","Raspail, don quichotte de camphre !"
pseudotumoral malakoplakia of the breast,malakoplakie pseudotumorale du sein,malakoplakia pseudotumorale du sein
osteogenesis imperfecta: report of a case,l'ostéogenèse imparfaite: à propos d'un cas,ostéogenèse imparfaite : rapport d'un cas
eye redness: think of rosacea,rougeur oculaire: penser à la rosacée,rougeur des yeux: penser à la rosacée
a small induced vascular malformation,une petite malformation vasculaire provoquée,une petite malformation vasculaire induite
what if all causes were not investigated?,et si toutes les causes n'étaient pas explorées?,Que faire si toutes les causes n'ont pas été étudiées?
"involvement of collaborators, key to success","l'implication des collaborateurs, clef du succàs","l'implication des collaborateurs, clé du succès"
george's clock,l'horloge de georges,L'horloge de George
an engagement at the teddy bear hospital,un engagement à l'hôpital des nounours,une fiançailles à l'hôpital de Teddy Bear
insidious epidemic,sournoise épidémie,épidémie insidieuse
with perseverance and passion,mit ausdauer und leidenschaft,avec persévérance et passion
in the end in service of humanity,am ende im dienst des menschen,au service de l'humanité
in process citation,living lab macvia handicap,en cours de citation
epilepsy and driving,épilepsie et conduite automobile,épilepsie et conduite
in process citation,living lab macvia maladies infectieuses chroniques,en cours de citation
encouraging comments and controversies,tribunes libres et débats transversaux,encourageant les commentaires et les controverses
sequencing babies?,séquencer les bébés ? - chroniques génomiques,Des séquençages de bébés ?
randomness and cell fate,hasard et destinée cellulaire,randomisation et sort cellulaire
complete hydatidiform mole,la môle hydatiforme complète,mole hydatidiforme complète
prader-willi syndrome in 2015,le syndrome de prader-willi en 2015,syndrome de prader-willi en 2015
investing in knowledge,investir dans la connaissance,investir dans le savoir
blind,aveugle,aveugle
the actions of the editorial committee,les actions du comité éditorial,les actions du comité de rédaction
in process citation,living lab macvia-lr fragilité,en cours de citation
in process citation,living lab macvia maladies chroniques,en cours de citation
in process citation,introduction,en cours de citation
tuberculous ulceration of the penis,ulcération pénienne tuberculeuse,ulcération tuberculeuse du pénis
secondary syphilis,syphilis secondaire,syphilis secondaire
the psa caught out,le psa pris en défaut,le psa a pris dehors
mixed depression and dsm-5: a critical review,dépression mixte et dsm-5 : mise au point critique,dépression mixte et dsm-5 : un examen critique
fears and tears from prostate cancer,peurs et pleurs du cancer de prostate,peurs et larmes dues au cancer de la prostate
in process citation,lachgas in der zahnmedizin,en cours de citation
"brimonidine (mirvaso), dermal use","brimonidine (mirvaso), usage dermique","brimonidine (mirvaso), utilisation cutanée"
euthanasia: what the pharmacist should know,euthanasie: ce que doit savoir le pharmacien,euthanasie: ce que le pharmacien doit savoir
in process citation,promontofixation monotrocart robot-assistée,en cours de citation
in process citation,la cystoprostatectomie robotique : step by step,en cours de citation
in process citation,cystectomie totale chez les octogénaires,en cours de citation
a buddhist view of health and care,regard bouddhiste sur la santé et les soins,une vision bouddhiste de la santé et des soins
islam and caring,l'islam et le prendre soin,islam et soins
spirituality in hospitals,la laïcité à l'hôpital,spiritualité dans les hôpitaux
construction of the french concept of spirituality,la construction de la laïcité française,la construction du concept français de spiritualité
living together!,vivre ensemble !,vivre ensemble !
neurosciences and law,neurosciences et neurodroit,neurosciences et droit
an arm lesion,une lésion cutanée du bras,une lésion du bras
"pycnodysostosis, a case report","la pycnodysostose, à propos d'un cas","pycnodysostose, un rapport de cas"
two big cheeks,deux grosses joues,deux grosses joues
resuscitation dosage calculations,calculs de dose en réanimation,Calculs de la dose de réanimation
ionizing radiation in cancer treatment,les rayonnements ionisants à usages thérapeutiques,rayonnement ionisant dans le traitement du cancer
the nurse and the wet wrapping technique,l'infirmière et la technique de wet wrapping,l'infirmière et la technique d'emballage humide
securing the use of thermosensitive drugs,sécuriser l'usage des médicaments thermosensibles,sécurisant l'utilisation de médicaments thermosensibles
"new portfolio, a users' manual","nouveau portfolio, mode d'emploi","nouveau portfolio, manuel d'utilisation"
patient education and breast cancer,éducation thérapeutique et cancer du sein,éducation des patients et cancer du sein
from bearing arms to nursing care,du métier des armes aux soins infirmiers,du port des armes aux soins infirmiers
the patient as partner,le par(t)i du partenariat,le patient en tant que partenaire
epiretinal membranes,les membranes épirétiniennes maculaires,membranes épirétiniennes
car driving and psychiatry,conduite automobile et psychiatrie,conduite automobile et psychiatrie
sleepiness and accidental risk,somnolence et risque accidentel,somnolence et risque accidentel
in process citation,"commentaire du travail de nanda ks et al., pp. 710",en cours de citation
in process citation,"commentaire du travail de pan y et al., pp. 688",en cours de citation
in process citation,"commentaire du travail de kim jw et al., pp. 680",en cours de citation
hepatitis c: reimbursement extension,hépatite c: extension du remboursement,hépatite c: prolongation du remboursement
living history,histoire vivante,Histoire vivante
misophonia and contemporary psychiatry,misophonie et psychiatrie contemporaine,misophonia et psychiatrie contemporaine
isolated chest trauma in elderly patients,traumatisme isolé du thorax chez la personne âgée,traumatismes thoraciques isolés chez les patients âgés
non invasive ventilation in the emergency setting,ventilation non invasive en urgence,ventilation non invasive en situation d'urgence
upper airway dyspnea in the adult,dyspnée haute chez l'adulte,dyspnée des voies respiratoires supérieures chez l'adulte
"help, i can't breathe","&quot;au secours, jfétouffe...&quot;!",Je ne peux pas respirer.
intramural ectopic pregnancy: about a case,grossesse intra murale à propos d'un cas,Grossesse ectopique intramurale: à propos d'un cas
an update on adenomyosis and implantation,adénomyose et implantation : mise au point,une mise à jour sur l'adénomyose et l'implantation
religious orders and hospitals of seine-maritime,ordres et hôpitaux en seine-maritime,ordres religieux et hôpitaux de senne-maritime
tribute to maurice rochaix,hommage à maurice rochaix,hommage à Maurice Rochaix
social inequalities in maternal health,inégalités sociales de santé maternelle,inégalités sociales en matière de santé maternelle
facial palsy sequel and botulinum toxin,séquelles de paralysie faciale et toxine botulique,suite de paralysie faciale et toxine botulinique
"cannabis in france, new insights",la situation actuelle du cannabis en france,"cannabis en france, nouvelles perspectives"
in process citation,fièvre de lassa et ribavirine,en cours de citation
cell phone vs paracetamol,téléphone portable versus paracétamol,téléphone cellulaire vs paracétamol
the non-uptake of prenatal care in burkina faso,le non-recours aux soins prénatals au burkina faso,la non-prise de soins prénatals en burkina faso
robert labauge (1922-2015),robert labauge (1922-2015),Robert labauge (1922-2015)
the changing face of public health in quebec,la santé publique en mouvement au québec,l'évolution de la santé publique au Québec
new impetus to build the future,de nouvelles impulsions pour construire l'avenir,un nouvel élan pour construire l'avenir
music soothes the souls,la musique adoucit les mœurs,la musique apaise les âmes
the habits to move quickly!,des habitudes à bousculer!,les habitudes de se déplacer rapidement!
jean-claude monney,jean-claude monney,Jean-claude monney
a quebec-swiss exchange,un échange québec-suisse,un échange de québec-swiss
impressed by the openness of the dialogue,impressionnée par l'ouverture au dialogue,impressionné par l'ouverture du dialogue
so many &quot;whys&quot;,tant de &quot;pourquoi&quot;,tant de &quot;whys&quot;
broad and complex,breit und complex,vaste et complexe
"getting involved, wherever it is possible?","sich einbringen, wo immer dies möglich ist?","s'impliquer, partout où c'est possible?"
"still invisible, but not forgotten","noch unsichtbar, aber nicht vergessen","encore invisible, mais pas oublié"
management of myelodysplastic syndromes,prise en charge des myélodysplasies,prise en charge des syndromes myélodysplasiques
long life to the pill!,vive la pilule!,Longue vie à la pilule !
primitive anorectal melanoma,mélanome anorectal primitif,mélanome anorectal primitif
"obesity, bariatric surgery and fertility","obésité, chirurgie bariatrique et fertilité","obésité, chirurgie bariatrique et fertilité"
multifocal tuberculosis in an immunocompetent,tuberculose multifocale chez un immunocompétent,tuberculose multifocale dans un immunocompétent
fibrous dysplasia: overview,la dysplasie fibreuse: état des lieux,dysplasie fibreuse: aperçu
retroperitoneal leiomyoma: report of 2 cases,le léiomyome rétro-péritonéal: à propos de 2 cas,léiomyome rétropéritonéal: rapport de 2 cas
standards and infringement,norme et transgression,les normes et les infractions
trisomy: blood test reimbursed,trisomie: test sanguin remboursé,trisomie: le test sanguin est remboursé
poetry and its reasons,la poésie a ses raisons,la poésie et ses raisons
a pill to replace physical activity?,une pilule pour remplacer l'activité--physique?,une pilule pour remplacer l'activité physique?
carotid atherosclerosis and dementia,athérosclérose carotidienne et démences,athérosclérose carotide et démence
what does 0by25 mean?,qu'est ce que « 0by25 » signifie ?,Qu'est-ce que 0by25 veut dire ?
thyroid pathology. pre-test answers,pathologie de la thyroïde. réponses au pré-test,pathologie de la thyroïde. réponses pré-test
drugs news,info-médicaments,Nouvelles sur les drogues
the two faces of sjögren's syndrome,les deux visages du syndrome de gougerot-sjögren,les deux visages du syndrome de sjögren
cold-induced skin lesions,des lésions cutanées au froid,lésions cutanées induites par le froid
persistent myalgia in a 58-year-old man,une biopsie musculaire qui passe mal,myalgie persistante chez un homme de 58 ans
an « atypical » inguinal lymphadenopathy,une adénopathie inguinale « atypique »,une adénopathie inguinale « atypique »
a rare splenic lesion,une lésion splénique rare,une lésion splénique rare
perinatal neuroprotection in 2015,la neuroprotection périnatale en 2015,neuroprotection périnatale en 2015
"twelve hour work shifts, an opportunity?","le travail en 12 heures, une opportunité ?","12 heures de travail, une opportunité ?"
new myriad of summer-time clinical cases,un nouveau florilège estival de cas cliniques,nouvelle myriade de cas cliniques d'été
frantz tumor in a child,tumeur de frantz chez l'enfant : a propos d'un cas,Tumeur frantz chez un enfant
hibernoma of the thigh. a case report,hibernome de la cuisse. a propos d'un cas,hibernoma de la cuisse. un rapport de cas
homage to professor andre govaerts,hommage au professeur andré govaerts,hommage au professeur André Govaerts
homage to professor philippe lheureux,hommage au professeur philippe lheureux,hommage au professeur philippe lheureux
a 74-year old woman with orofacial granulomatosis,granulomatose oro-faciale chez une femme de 74 ans,une femme de 74 ans atteinte de granulomatose orofaciale
munchausen by proxy syndrome,le syndrome de munchausen par procuration,munchausen par syndrome de proxy
an exceptional endocervical nodule,un nodule endocervical exceptionnel,un nodule endocervical exceptionnel
thyroid pathology. pre-test,pathologie de la thyroïde. pré-test,pathologie de la thyroïde. pré-test
physician practice improvement,les experts internationaux de la santé,amélioration de la pratique des médecins
progress in head and neck cancer,"cancérologie orl, de nouveaux progrès",progrès dans le cancer de la tête et du cou
rare metastasis of a pulmonary adenocarcinoma,métastase rare d'un adenocarcinoma pulmonaire,métastases rares d'un adénocarcinome pulmonaire
desmoid fibromatosis of the lower limb,fibromatose desmoïde de la jambe,fibromatose desmoïde du membre inférieur
nursing management of pain,l'infirmière face à la douleur,soins infirmiers de la douleur
gestational diabetes,le diabète gestationnel,diabète gestationnel
"nursing tutor, working closely with students","infirmière tutrice, au plus près des étudiants","tutorat en soins infirmiers, en étroite collaboration avec les étudiants"
coma and communication,coma et communication,coma et communication
ethics and coma,éthique et coma,éthique et coma
coma in france today,les comas en france aujourd'hui,coma en france aujourd'hui
nursing care of the coma patient,les soignants face aux comas,soins infirmiers du patient du coma
honoring caregivers,mettre à l'honneur les proches aidants,honorer les aidants naturels
pneumonia in the elderly,7/20 les pneumopathies du sujet âgé,pneumonie chez les personnes âgées
generalized pruritus,17/17 un prurit généralisé,prurit généralisé
pleasure and aging in the elderly,plaisir et vieillissement chez les plus de 65 ans,plaisir et vieillissement chez les personnes âgées
"alzheimer's disease, caregiving and frailty","maladie d'alzheimer, relation d'aide et fragilité","maladie d'alzheimer, soins et fragilité"
supporting caregivers,"et vous, comment allez-vous ?",aide aux aidants naturels
quality or quantity of life?,qualité ou quantité de vie ?,qualité ou quantité de vie?
infantile scurvy: two cases,scorbut chez l'enfant : deux cas,scorbut infantile: deux cas
type i interferonopathies,interféronopathies de type i,interférons de type i
4/5 melanie klein,4/5 melanie klein,4/5 mélanie klein
a warrior named gaspard,un guerrier nommé gaspard,un guerrier nommé Gaspard
the benefit of self-assessment in rehabilitation,intérêt de l'auto-évaluation en réhabilitation,le bénéfice de l'auto-évaluation en matière de réadaptation;
nursing support in a housing association apartment,accompagnement infirmier en appartement associatif,soins infirmiers dans un appartement de l'association du logement
recovery,au sujet du rétablissement,recouvrement
"soins psychiatrie, a reference for 35 years","soins psychiatrie, une référence depuis 35 ans","Soins psychiatrie, une référence pour 35 ans"
practical risk analysis,analyse des risques a priori en pratique,Analyse des risques pratiques
ischemic stroke in the young adult,infarctus cérébral du sujet jeune,AVC ischémique chez le jeune adulte
pseudo-coats diagnosed in 58-year-old woman,pseudo-coats diagnostiqué chez une femme de 58ans,pseudo-coat diagnostiqué chez une femme de 58 ans
citizen partners for mental health,citoyens partenaires pour la santé mentale,partenaires citoyens pour la santé mentale
anaemia and chronic diseases,anémie et maladies chroniques,anémie et maladies chroniques
heart failure and comorbidities,insuffisance cardiaque et pathologies associées,insuffisance cardiaque et comorbidités
presumed ocular histoplasmosis syndrome,syndrome d'histoplasmose oculaire présumé,syndrome présumé d'histoplasmose oculaire
radiomics: definition and clinical development,définition et applications cliniques des radiomics,radiomique: définition et développement clinique
experience feedback committees (crex) and beyond…,les crex et après…,les comités de retour d'expérience (crex) et au-delà...
the quality of life in schizophrenia,la qualité de vie en schizophrénie,la qualité de vie en schizophrénie
atypical presentation of orbital sarcoidosis,présentation atypique d'une sarcoïdose orbitaire,présentation atypique de la sarcoïdose orbitale
leprosy is definitely not a disease of the past,la lèpre n'est pas une maladie du passé,la lèpre n'est certainement pas une maladie du passé
hiv-1 drives the migration of macrophages,le vih-1 pilote la migration des macrophages,hiv-1 provoque la migration des macrophages
antiplatelet drugs: what's new?,les antiplaquettaires : quoi de neuf ?,antiplaquettes : quoi de neuf ?
current management of hepatocellular carcinoma,prise en charge du carcinome hépatocellulaire,gestion actuelle du carcinome hépatocellulaire
new kidney transplants,les nouveaux greffons rénaux,nouvelles transplantations rénales
in memoriam. charles j. burstone (1928-2015),in memoriam. charles j. burstone (1928-2015),dans mémoriam. charles j. burnone (1928-2015)
the prehistory of orthodontics,la préhistoire de l'orthodontie,la préhistoire de l'orthodontie
in process citation,"commentaire du travail de bove v et al., pp. 611",en cours de citation
macular serpiginous choroiditis,choroïdite serpigineuse maculaire,choroidite sépigineuse maculaire
sebaceous carcinoma of the parotid gland,carcinome sébacé de la glande parotide,Carcinome sébacé de la glande parotide
facial paralysis: attitude practice,paralysie faciale: attitude pratique,paralysie faciale: pratique de l'attitude
diagnostic ultrasound in pneumothorax,diagnostic échographique du pneumothorax,échographie diagnostique dans pneumothorax
early cardiotoxicity of hydroxychloroquine,cardiotoxicité précoce de l'hydroxychloroquine,cardiotoxicité précoce de l'hydroxychloroquine
pancreatic pseudotumor,une pseudo-tumeur pancréatique,pseudotumor pancréatique
infectious diseases news,infos infectieux,Nouvelles sur les maladies infectieuses
myelitis revealing sarcoidosis,myélite sarcoïdosique révélatrice,myélite révélant une sarcoïdose
in process citation,"commentaire du travail de tsujii y et al., pp. 775",en cours de citation
poems syndrome: a diagnosis to not to ignore,poems syndrome: un diagnostic à ne pas méconnaitre,syndrome des poèmes: un diagnostic à ne pas ignorer
cystic lymphangioma of the parotid gland,lymphangiome kystique de la parotide,lymphangiome kystique de la glande parotide
a rare case of pure subtalar dislocation,un cas rare de luxation sous-talienne pure,un cas rare de dislocation subtalaire pure
waardenburg syndrome,syndrome de waardenburg,syndrome de waardenburg
"report summary--mental illness in canada, 2015",journées de neurologie de langue française 2015,"rapport sommaire--maladie mentale au canada, 2015"
social inequalities in perinatal health,inégalités sociales en santé périnatale,inégalités sociales dans la santé périnatale
chronic lymphocytic leukemia,leucémies lymphoïdes chroniques,leucémie lymphocytaire chronique
addiction to alcohol,addiction à l'alcool,dépendance à l'alcool
monitoring and complications of venous access,surveillance et complications des abords veineux,surveillance et complications de l'accès veineux
breastfeeding,allaitement maternel,Allaitement maternel
realities of alcohol withdrawal,actualité dans le sevrage alcoolique,réalités du retrait d'alcool
prevention of breastfeeding complications,prévention des complications de l'allaitement,prévention des complications de l'allaitement au sein
an evidence based center for primary care,un centre de ressources (de soins primaires),un centre de soins primaires fondé sur des données probantes
arterial hypertension of renal origin,hypertensions artérieles d'origine rénale,hypertension artérielle d'origine rénale
pheochromocytoma and paraganglioma,phéochromocytome et paragangliome,phéochromocytome et paragangliome
renal artery stenosis,sténoses artérielles rénales,sténose de l'artère rénale
primary aldosteronism,hyperaldostéronisme primaire,aldostéronisme primaire
colorectal cancer biology,biologie des cancers colorectaux,biologie du cancer colorectal
management of metastatic colorectal cancer,traitement du cancer colorectal métastatique,prise en charge du cancer colorectal métastatique
adjuvant treatment for resected colon cancer,traitements adjuvants des cancers du côlon,traitement adjuvant du cancer du côlon réséqué
peri-operative treatments for rectal cancer,traitements péri-opératoires du cancer du rectum,traitements péri-opératoires pour le cancer rectal
surgical treatment of colorectal cancer,traitement chirurgical du cancer colorectal,traitement chirurgical du cancer colorectal
